method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.326489324826311,3891.90661679728,1270.66596360519,1946.20156629682,4,0.05,7
medfix0.5,groot,0.149884871205638,3918.66273589178,587.348259467471,3297.59016947098,2,0.05,7
medfix0.5,l3t,0.219589324584776,3258.17247455128,715.459893067424,2167.44012746458,4,0.05,9
medfix0.5,l3b,0.12226391931368,3192.652141536,390.346163829406,2386.4273440216,2,0.05,6
medfix0.5,ld268,0.0505320565520506,3526.03856374057,178.17798010765,3228.63318771634,1,0.05,9
medfix0.5,ln268,0.0925469223610942,3642.5630736628,337.10800197366,2737.74608537465,3,0.05,8
medfix0.5,kern,0.237211690549642,2798.11648004039,663.745940585196,1882.57048179449,2,0.05,2
medfixbic,gs,0.476728282178158,2603.22156774024,1241.02934611793,1143.83441565455,4,0.05,5
medfixbic,groot,0.241765829220846,2353.36487696018,568.963210937491,1730.05711252916,2,0.05,3
medfixbic,l3t,0.131429059517806,4367.6486518109,574.03595461172,3305.51780270422,2,0.05,12
medfixbic,l3b,0.315057433750217,2783.65204951169,877.010271172685,1678.34264121738,3,0.05,5
medfixbic,ld268,0,7321.84894443752,0,7321.84894443752,0,0.05,26
medfixbic,ln268,0.0799888913174463,2913.88557897276,233.078476887926,2522.72997996107,2,0.05,7
medfixbic,kern,0.0452996802192707,3980.35314291474,180.308724533807,3229.39484903055,1,0.05,7
medmix.linear,gs,0,13.5786085613062,0,13.5786085613062,0,0.05,0
medmix.linear,groot,0,2.62702398544161e-15,0,2.62702398544161e-15,0,0.05,0
medmix.linear,l3t,0,6.18958052397902,0,6.18958052397902,0,0.05,0
medmix.linear,l3b,0,663.21423422831,0,663.21423422831,0,0.05,0
medmix.linear,ld268,0,492.722756365425,0,492.722756365425,0,0.05,0
medmix.linear,ln268,0,829.644045046648,0,829.644045046648,0,0.05,0
medmix.linear,kern,0,149.639469049423,0,149.639469049423,0,0.05,0
medmix.shrink,gs,0,13.3575820182973,0,13.3575820182973,0,0.05,0
medmix.shrink,groot,0,858.495450882508,0,858.495450882508,0,0.05,0
medmix.shrink,l3t,0,116.293305786921,0,116.293305786921,0,0.05,0
medmix.shrink,l3b,0,833.528195680489,0,833.528195680489,0,0.05,0
medmix.shrink,ld268,0,824.50912674671,0,824.50912674671,0,0.05,0
medmix.shrink,ln268,0,119.375150550063,0,119.375150550063,0,0.05,0
medmix.shrink,kern,0,41.3401751089561,0,41.3401751089561,0,0.05,0
