method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0532985742946333,18042.7779332812,961.65434015856,14774.4526023541,2,0.05,17
medfix0.5,groot,0,21930.8953191369,0,21930.8953191369,0,0.05,16
medfix0.5,l3t,0.0415268772043468,17367.0927475035,721.201127922081,15483.3519120706,1,0.05,13
medfix0.5,l3b,0.0384570188120343,28059.2675284374,1079.07577919302,27224.8004089605,1,0.05,25
medfix0.5,ld268,0.0925727101544289,11123.5700193062,1029.73902327973,9259.11096009054,2,0.05,9
medfix0.5,ln268,0.102365845529974,23547.1696245904,2410.42592845891,17089.9512624197,4,0.05,12
medfix0.5,kern,0.0439346119602269,13485.6933356756,592.488703717524,12038.2735279727,1,0.05,8
medfixbic,gs,0.131810949652555,10622.9378180474,1400.21952189686,9183.76022315346,1,0.05,6
medfixbic,groot,0,26797.3873661351,0,26797.3873661351,0,0.05,18
medfixbic,l3t,0,27777.8376070964,0,27777.8376070964,0,0.05,14
medfixbic,l3b,0.025853107773764,38048.8677946105,983.681479763762,35361.1217078455,3,0.05,38
medfixbic,ld268,0.045353015429199,15139.3804442249,686.616554875446,13487.450873479,2,0.05,14
medfixbic,ln268,0.0111039773053322,42046.6364693461,466.884897121171,39842.8218282869,2,0.05,59
medfixbic,kern,0,27049.1690676966,0,27049.1690676966,0,0.05,14
medmix.linear,gs,0,12.4508022595308,0,12.4508022595308,0,0.05,0
medmix.linear,groot,0,1035.93540698451,0,1035.93540698451,0,0.05,0
medmix.linear,l3t,0,1723.86962489251,0,1723.86962489251,0,0.05,0
medmix.linear,l3b,0,3337.87719803471,0,3337.87719803471,0,0.05,0
medmix.linear,ld268,0,2866.82310668906,0,2866.82310668906,0,0.05,0
medmix.linear,ln268,0,1273.18023210694,0,1273.18023210694,0,0.05,0
medmix.linear,kern,0,1412.76852852425,0,1412.76852852425,0,0.05,0
medmix.shrink,gs,0,2320.16204612197,0,2320.16204612197,0,0.05,0
medmix.shrink,groot,0,561.089383986742,0,561.089383986742,0,0.05,0
medmix.shrink,l3t,0,4078.94016164625,0,4078.94016164625,0,0.05,0
medmix.shrink,l3b,0,2528.85312112239,0,2528.85312112239,0,0.05,0
medmix.shrink,ld268,0,2866.64935984924,0,2866.64935984924,0,0.05,0
medmix.shrink,ln268,0,283.176352187517,0,283.176352187517,0,0.05,0
medmix.shrink,kern,0,1769.68227069519,0,1769.68227069519,0,0.05,0
