method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0917047561027683,45762.7961974962,4196.66606387208,36433.6138179279,6,0.05,21
medfix0.5,groot,0,12567.0906538321,0,12567.0906538321,0,0.05,5
medfix0.5,l3t,0.0405249656585787,44853.9347316202,1817.70416465104,41267.342591227,1,0.05,15
medfix0.5,l3b,0.0244285394192268,34676.1233799899,847.087046894056,31532.885847745,1,0.05,11
medfix0.5,ld268,0.123430762069787,15529.2300121716,1916.78469475934,13006.0556716411,2,0.05,13
medfix0.5,ln268,0.172048481182445,26916.680096589,4630.9739290919,21358.0639029321,4,0.05,16
medfix0.5,kern,0.0351697414682993,30793.4749711571,1082.99855364614,29829.0657545633,1,0.05,29
medfixbic,gs,0.0202781532307132,46574.2405639502,944.439586759882,43248.5524572421,2,0.05,22
medfixbic,groot,0,44426.8564449008,0,44426.8564449008,0,0.05,20
medfixbic,l3t,0,47297.2930975524,0,47297.2930975524,0,0.05,17
medfixbic,l3b,0.0172708374578854,45340.9019803517,783.075348296567,41929.6974918145,1,0.05,15
medfixbic,ld268,0.0904598506483328,30364.8122553596,2746.79638158449,25236.7353769188,3,0.05,18
medfixbic,ln268,0.161399817005268,33692.0917462388,5437.89744236765,26065.1010213051,3,0.05,22
medfixbic,kern,0.00613247389084783,60612.0868958968,371.702040358887,59851.4731574717,1,0.05,68
medmix.linear,gs,0,280.148496045311,0,280.148496045311,0,0.05,0
medmix.linear,groot,0,1.68519724744395e-14,0,1.68519724744395e-14,0,0.05,0
medmix.linear,l3t,0,602.828523873992,0,602.828523873992,0,0.05,0
medmix.linear,l3b,0,260.335385953457,0,260.335385953457,0,0.05,0
medmix.linear,ld268,0,471.409305523607,0,471.409305523607,0,0.05,0
medmix.linear,ln268,0,290.369352933229,0,290.369352933229,0,0.05,0
medmix.linear,kern,0,2823.08953553611,0,2823.08953553611,0,0.05,0
medmix.shrink,gs,0,282.320850228546,0,282.320850228546,0,0.05,0
medmix.shrink,groot,0,605.635756730678,0,605.635756730678,0,0.05,0
medmix.shrink,l3t,0,1.44397845069067e-14,0,1.44397845069067e-14,0,0.05,0
medmix.shrink,l3b,0,61.3847046126878,0,61.3847046126878,0,0.05,0
medmix.shrink,ld268,0,469.360453949495,0,469.360453949495,0,0.05,0
medmix.shrink,ln268,0,518.349678318603,0,518.349678318603,0,0.05,0
medmix.shrink,kern,0,2757.00836002784,0,2757.00836002784,0,0.05,0
