genotype	T1_lowN	T2_lowN	T3_lowN	T4_lowN	T5_lowN	T6_lowN	T7_lowN	T8_lowN	T9_lowN	T10_lowN	T11_lowN	T12_lowN	T13_lowN	T14_lowN	T15_lowN	T16_lowN	T17_lowN	T18_lowN	T19_lowN	T20_lowN	T21_lowN	T22_lowN	T23_lowN	T24_lowN	T25_lowN	T26_lowN	T27_lowN	T28_lowN	T29_lowN	T30_lowN	T31_lowN	T32_lowN	T33_lowN	T34_lowN	T35_lowN	T36_lowN	T37_lowN	T38_lowN	T39_lowN	T40_lowN	T41_lowN	T42_lowN	T43_lowN	T44_lowN	T45_lowN	T46_lowN	T47_lowN	T48_lowN	T49_lowN	T50_lowN	T51_lowN	T52_lowN	T53_lowN	T54_lowN	T55_lowN	T56_lowN	T57_lowN	T58_lowN	T59_lowN	T60_lowN	T61_lowN	T62_lowN	T63_lowN	T64_lowN	T65_lowN	T66_lowN	T67_lowN	T68_lowN	T69_lowN	T70_lowN	T71_lowN	T72_lowN	T73_lowN	T74_lowN	T75_lowN	T76_lowN	T77_lowN	T78_lowN	T79_lowN	T80_lowN	T81_lowN	T82_lowN	T83_lowN	T84_lowN	T85_lowN	T86_lowN	T87_lowN	T88_lowN	T89_lowN	T90_lowN	T91_lowN	T92_lowN	T93_lowN	T94_lowN	T95_lowN	T96_lowN	T97_lowN	T98_lowN	T99_lowN	T100_lowN	T101_lowN	T102_lowN	T103_lowN	T104_lowN	T105_lowN	T106_lowN	T107_lowN	T108_lowN	T109_lowN	T110_lowN	T111_lowN	T112_lowN	T113_lowN	T114_lowN	T115_lowN	T116_lowN	T117_lowN	T118_lowN	T119_lowN	T120_lowN	T121_lowN	T122_lowN	T123_lowN	T124_lowN	T125_lowN	T126_lowN	T127_lowN	T128_lowN	T129_lowN	T130_lowN	T131_lowN	T132_lowN	T133_lowN	T134_lowN	T135_lowN	T136_lowN	T137_lowN	T138_lowN	T139_lowN	T140_lowN	T141_lowN	T142_lowN	T143_lowN	T144_lowN	T145_lowN	T146_lowN	T147_lowN	T148_lowN	T149_lowN	T150_lowN	T1_stdN	T2_stdN	T3_stdN	T4_stdN	T5_stdN	T6_stdN	T7_stdN	T8_stdN	T9_stdN	T10_stdN	T11_stdN	T12_stdN	T13_stdN	T14_stdN	T15_stdN	T16_stdN	T17_stdN	T18_stdN	T19_stdN	T20_stdN	T21_stdN	T22_stdN	T23_stdN	T24_stdN	T25_stdN	T26_stdN	T27_stdN	T28_stdN	T29_stdN	T30_stdN	T31_stdN	T32_stdN	T33_stdN	T34_stdN	T35_stdN	T36_stdN	T37_stdN	T38_stdN	T39_stdN	T40_stdN	T41_stdN	T42_stdN	T43_stdN	T44_stdN	T45_stdN	T46_stdN	T47_stdN	T48_stdN	T49_stdN	T50_stdN	T51_stdN	T52_stdN	T53_stdN	T54_stdN	T55_stdN	T56_stdN	T57_stdN	T58_stdN	T59_stdN	T60_stdN	T61_stdN	T62_stdN	T63_stdN	T64_stdN	T65_stdN	T66_stdN	T67_stdN	T68_stdN	T69_stdN	T70_stdN	T71_stdN	T72_stdN	T73_stdN	T74_stdN	T75_stdN	T76_stdN	T77_stdN	T78_stdN	T79_stdN	T80_stdN	T81_stdN	T82_stdN	T83_stdN	T84_stdN	T85_stdN	T86_stdN	T87_stdN	T88_stdN	T89_stdN	T90_stdN	T91_stdN	T92_stdN	T93_stdN	T94_stdN	T95_stdN	T96_stdN	T97_stdN	T98_stdN	T99_stdN	T100_stdN	T101_stdN	T102_stdN	T103_stdN	T104_stdN	T105_stdN	T106_stdN	T107_stdN	T108_stdN	T109_stdN	T110_stdN	T111_stdN	T112_stdN	T113_stdN	T114_stdN	T115_stdN	T116_stdN	T117_stdN	T118_stdN	T119_stdN	T120_stdN	T121_stdN	T122_stdN	T123_stdN	T124_stdN	T125_stdN	T126_stdN	T127_stdN	T128_stdN	T129_stdN	T130_stdN	T131_stdN	T132_stdN	T133_stdN	T134_stdN	T135_stdN	T136_stdN	T137_stdN	T138_stdN	T139_stdN	T140_stdN	T141_stdN	T142_stdN	T143_stdN	T144_stdN	T145_stdN	T146_stdN	T147_stdN	T148_stdN	T149_stdN	T150_stdN
33-16	-4.160241822	-6.484423232	-5.369340116	-6.568719495	-3.101319983	-4.046216988	-5.997319045	-6.46751011	-4.360015681	-4.66713382	-6.680440036	-6.16574913	-5.367102018	-6.157287793	-4.756929605	-6.27011261	-5.655105731	-5.807702646	-4.859744796	-4.305952405	-5.627518685	-5.855517318	-5.537823764	-5.050405032	-4.607305642	-4.374480052	-3.976906511	-3.031019627	-5.595577811	-4.966932831	-4.792000789	-5.539347494	-5.496379119	-5.348902639	-6.579599678	-6.443918278	-6.297545661	-6.04311846	-5.035237768	-5.892115913	-6.433691338	-5.887172442	-4.962373673	-6.419410067	-5.2100138	-6.068244662	-5.499641917	-5.452693972	-5.281480314	-5.842032518	-5.990642859	-5.807403819	-5.127678719	-4.12576536	-5.999000837	-6.101502368	-5.933200735	-5.970140673	-6.5022004	-6.022778351	-6.039481867	-6.183067761	-6.692567072	-5.621198305	-5.532908567	-6.634899809	-4.964562824	-6.480228438	-3.193667112	-6.394063718	-6.049701584	-6.429882997	-5.56768099	-6.048471086	-6.297501345	-6.474718757	-6.555471868	-5.882424272	-5.186807198	-4.619607187	-6.366971786	-4.367604697	-6.215628643	-5.2490811	-4.605111662	-5.414060822	-5.705665632	-6.143818443	-6.532285273	-5.726771212	-5.230413793	-6.25750089	-4.211779183	-6.134237683	-5.936424352	-5.840427245	-5.966649959	-6.047582353	-5.071706865	-4.787939692	-4.877505794	-5.443844269	-5.735778018	-5.935893302	-5.875308562	-5.621575652	-6.001921674	-6.223172742	-5.01358863	-5.979290525	-5.75372587	-4.968313059	-6.509992429	-6.131479789	-6.226905572	-5.938146633	-4.44727394	-6.521411109	-4.774479137	-6.129204421	-6.502291517	-6.515982437	-6.312577618	-6.126251503	-6.334267035	-6.202456846	-6.273767738	-5.647490957	-3.976328206	-5.240462049	-4.997916067	-6.554210018	-4.233770603	-5.791538233	-6.220351087	-5.456269799	-2.582485747	-6.354339035	-6.487351605	-5.270760222	-6.158244809	-6.57791209	-3.98404785	-6.732698071	-4.309171967	-6.18621965	-4.746237327	-6.823448918	-3.949673427	-3.668705327	-4.466596787	-6.387386554	-5.321487024	-6.617822002	-3.084159618	-4.331168566	-5.69246801	-6.473993468	-3.419371187	-5.310401481	-6.588587583	-6.644105035	-5.98323976	-6.547626269	-4.386528799	-6.1821984	-5.321809445	-6.016880909	-4.448691641	-4.466890161	-5.726282629	-5.734508652	-5.483507298	-5.294807705	-4.877654118	-4.38658463	-3.923709566	-3.219240958	-5.547543165	-5.102196407	-4.939223008	-5.540510378	-5.584750966	-5.088761023	-6.720476071	-6.505827552	-6.548203906	-6.383207731	-5.31775425	-6.259615091	-6.661039951	-6.221864417	-5.479790412	-6.526771005	-5.792155098	-6.426308969	-5.800844326	-5.66214597	-5.876922589	-6.438224056	-6.383677509	-5.938356233	-5.949293229	-4.136025297	-6.285729041	-6.457050071	-6.489731723	-6.243353261	-6.134110953	-6.080252535	-6.061142256	-5.372941333	-6.577408784	-5.16055504	-5.172430575	-6.278926053	-4.022061476	-5.938800026	-3.442515984	-6.324547172	-6.167408853	-6.130185174	-6.214851143	-6.263356112	-6.66789066	-6.501113867	-6.647920302	-5.794432542	-5.73551251	-4.650358816	-6.054049445	-4.443544112	-5.826030578	-5.736361891	-5.258812644	-6.114117813	-4.992110291	-5.348227462	-6.147376451	-6.154035532	-5.279499857	-6.403377309	-4.441267853	-6.504668755	-6.266413442	-6.233541632	-6.431697021	-6.24048512	-4.786888407	-5.043855601	-4.977180356	-5.655452122	-5.736589068	-5.723938933	-6.3512641	-6.153186809	-6.36596478	-5.846112547	-4.392815909	-6.248939397	-5.961366187	-5.0563056	-6.308606845	-6.598643899	-6.463271727	-5.845178728	-4.495286385	-6.680093596	-4.74890629	-6.056594592	-6.405508097	-6.637767777	-6.460024743	-6.457767726	-6.563775522	-6.384109061	-6.053618396	-5.837655074	-3.127610339	-4.914263954	-4.69513181	-6.559456032	-4.680293298	-6.262118106	-6.496369272	-5.144599361	-2.531481222	-6.458363998	-6.801373647	-6.013713209	-6.486629521	-6.496100135	-4.122615363	-6.730101117	-4.918115635	-6.507873636	-5.390610178	-6.863195067	-3.720183287	-3.741453804
38-11Goodman-Buckler	-3.963392106	-6.407094628	-5.397998171	-6.483938668	-3.109036363	-4.536200732	-6.117794897	-6.54319451	-4.163298913	-4.650626449	-6.700093408	-6.165749116	-5.391269611	-6.276514186	-4.756929605	-6.270112643	-5.832413534	-5.99044606	-4.831860767	-4.196668371	-5.305588676	-5.855517318	-5.537823764	-5.07773902	-4.379904556	-4.374480052	-3.815844679	-3.053452735	-5.59557781	-4.912558648	-4.687229625	-5.5591386	-5.496379119	-5.501523578	-6.579599682	-6.444681	-6.325822398	-6.155184593	-4.98083766	-5.783880507	-6.538792668	-5.942220087	-4.923037689	-6.438864007	-5.456197431	-6.048768611	-5.265634569	-5.502901387	-5.108343791	-5.94224429	-6.096978804	-5.820636677	-5.179183519	-4.072927909	-6.056933498	-6.101502368	-5.933200735	-5.970140673	-6.491019703	-6.022778351	-6.193586532	-6.183067761	-6.673370779	-5.685966117	-5.512727931	-6.634899812	-5.005178742	-6.479813318	-3.100957948	-6.394063718	-6.282832704	-6.218331405	-5.629200586	-5.970494647	-6.258030418	-6.184295812	-6.491714577	-5.804245595	-5.147760263	-4.397831617	-6.344048762	-4.367604697	-6.473644523	-5.305382934	-4.433899623	-5.414060821	-5.81058009	-6.115799985	-6.503227822	-5.74188222	-5.477418572	-6.259739662	-4.144890551	-6.082880417	-5.822009755	-5.840427245	-6.104455222	-6.087221434	-4.9606275	-4.723397935	-4.867994744	-5.240937301	-5.716003078	-5.78943696	-5.950038462	-5.617065457	-6.005527346	-6.28068595	-5.112308003	-5.981814075	-5.742413473	-5.100983415	-6.485146817	-6.131479789	-6.617465451	-5.988540464	-4.227260324	-6.482416636	-5.264658625	-6.187237911	-6.547284758	-6.515982437	-6.312577619	-6.126251503	-6.307576731	-6.172714243	-6.180310979	-5.682289607	-4.021860721	-5.247108175	-4.997916074	-6.600774511	-4.332234389	-5.890642738	-6.228691732	-5.489967259	-2.68829699	-6.351120055	-6.497824877	-5.743738156	-6.289325577	-6.491339662	-3.838989473	-6.732698072	-4.39471839	-6.198121133	-5.375761785	-6.823448918	-4.093019091	-3.517819107	-4.443038253	-6.387386554	-4.946195441	-6.705682886	-3.254505929	-3.967024053	-5.69246801	-6.469422206	-3.419371187	-5.040437805	-6.630641388	-6.650514333	-6.046625602	-6.505355511	-4.3865288	-6.061453407	-5.454948392	-5.992051028	-4.10995106	-4.438278906	-5.834413754	-5.504017589	-5.371413408	-5.588057695	-4.765156103	-4.39640596	-3.912503106	-3.10702304	-5.547543165	-5.064153376	-5.292462032	-5.342706735	-5.583043163	-4.983296297	-6.740684923	-6.472032956	-6.534964259	-6.439848496	-5.542651797	-6.259615094	-6.677192196	-6.334715223	-5.479790412	-6.526771007	-5.792155104	-6.426308969	-5.787363419	-5.669686631	-6.002629751	-6.437966123	-6.391789624	-6.024298442	-6.295044033	-4.610689449	-6.49717694	-6.44403228	-6.499512799	-6.177394747	-6.203703578	-6.108136737	-5.924002117	-5.377526948	-6.539129354	-5.21896	-5.773656912	-6.272530926	-4.006102423	-5.934425896	-3.426889306	-6.321618754	-6.185929413	-6.295850015	-6.348365529	-6.334988585	-6.66789066	-6.536570141	-6.734548025	-5.794432542	-5.73551251	-4.69310423	-6.071085783	-4.30992355	-5.892669325	-5.85575995	-5.258812644	-6.110880196	-5.096178857	-5.129493734	-5.856111824	-6.385835858	-5.391357252	-6.403377309	-4.816682448	-6.507256787	-6.266413444	-6.325201146	-6.468933707	-6.261341953	-4.646461933	-5.124278014	-4.93974317	-5.655452122	-5.54736348	-5.708785162	-6.3512641	-6.177430857	-6.370258386	-5.817924073	-4.473195958	-6.281432693	-5.973411748	-5.0563056	-6.667310485	-6.598643899	-6.234977717	-5.845178728	-4.529519468	-6.678495717	-4.74890629	-6.137019355	-6.446005541	-6.681294955	-6.640521079	-6.483806544	-6.563775522	-6.541912	-6.053618395	-6.142183658	-3.460380295	-4.914263953	-4.734410757	-6.559456032	-4.997357313	-6.262118095	-6.496369272	-5.280838462	-2.265754602	-6.322895561	-6.800761485	-6.226836957	-6.486629521	-6.697888773	-3.998414037	-6.759579764	-5.327172183	-6.593783072	-5.973728775	-6.860906844	-3.666846347	-3.78637053
4226	-4.301762566	-6.463201325	-4.79743082	-6.568719495	-3.034011226	-3.948073145	-6.03488693	-6.485239622	-4.564704867	-4.716206943	-6.702609443	-6.16574913	-5.528089034	-6.264628972	-4.756929603	-6.270112576	-5.795663579	-5.946737805	-4.909155409	-4.365042909	-5.462375703	-5.855517318	-5.537823764	-5.032672237	-4.506483542	-4.374480052	-3.916466375	-2.930268804	-5.59557781	-4.966072265	-4.783752393	-5.897928382	-5.49637912	-5.400910873	-6.579599682	-6.449642114	-6.327048811	-6.10209525	-4.978388524	-5.891078867	-6.522181111	-5.938624771	-5.056043894	-6.398152776	-5.17935495	-6.073216783	-5.639816368	-5.502015347	-5.140487813	-6.017878794	-6.163329949	-5.808286213	-5.251261543	-4.010501853	-5.990743217	-6.101502368	-5.933200735	-5.970140673	-6.56791757	-6.022778351	-6.088677351	-6.183067761	-6.260350719	-5.538810551	-5.715891096	-6.634899811	-4.811468254	-6.483205419	-3.289551039	-6.394063718	-6.141573778	-6.215357111	-5.771922525	-6.025000628	-6.376999038	-6.32265959	-6.522250695	-5.755614852	-5.16342269	-4.64108053	-6.368728693	-4.367604695	-6.332752489	-5.35280136	-4.586616793	-5.414060821	-5.626259983	-6.143816849	-6.551279115	-5.809019019	-5.54574172	-6.279846683	-4.387584203	-6.174291268	-5.984512184	-5.840427246	-6.195245438	-6.064255725	-5.256090232	-4.788226443	-4.900268956	-5.337982996	-5.703041129	-6.008508072	-5.924127193	-5.606699333	-6.00582323	-6.232365124	-5.020242028	-6.001172991	-5.759061254	-5.008038323	-6.474956487	-6.131479789	-6.649375539	-5.966826242	-4.469207428	-6.521411109	-4.82871611	-5.812305862	-6.291555352	-6.515982437	-6.312577618	-6.126251503	-6.367915915	-6.183495534	-6.231829473	-5.597801263	-4.035793361	-5.534316149	-4.997916099	-6.54336606	-4.119189659	-5.777640524	-6.212822802	-5.486442763	-2.736462661	-6.28603221	-6.476364292	-5.7229865	-5.99100804	-5.837858773	-3.693859794	-6.73269807	-4.40594357	-6.187858262	-4.648114773	-6.823448918	-3.96711164	-3.787610646	-4.510605576	-6.387386554	-4.825668258	-6.37556251	-3.042884234	-4.163184153	-5.69246801	-6.473120486	-3.419371187	-5.08477334	-6.637651819	-6.661146157	-6.093584195	-6.547283314	-4.386528799	-6.019563442	-5.278071049	-6.063168653	-4.3613334	-4.51704531	-5.962655541	-5.854603705	-5.504004808	-5.51706771	-4.783711084	-4.446790856	-3.944552143	-3.027221825	-5.547543165	-5.215592478	-5.231596493	-5.475055977	-5.587365637	-4.905060391	-6.718166225	-6.509384424	-6.534626712	-6.244871909	-5.520536031	-6.259615093	-6.682496934	-6.27154764	-5.479790412	-6.526771008	-5.792155102	-6.426308969	-5.810187319	-5.658007457	-5.956871268	-6.439140165	-6.416895994	-6.13442347	-6.041248096	-4.642849591	-6.399919454	-6.45417936	-6.501894567	-6.227665471	-6.096716133	-5.997964935	-6.091328245	-5.455265827	-6.472686411	-5.209714599	-5.321171432	-6.522019467	-3.824140934	-5.944383911	-3.543440809	-6.323919592	-6.177868937	-6.163667764	-6.360213599	-6.2504211	-6.66789066	-6.506874251	-6.623944226	-5.794432542	-5.735512512	-4.697381827	-6.027970258	-4.261544646	-6.039861159	-5.920006043	-5.258812644	-6.115789169	-5.048407544	-5.35650482	-6.184846114	-6.358289422	-5.370031351	-6.403377309	-4.773587073	-6.506856166	-6.266413436	-6.299068754	-6.500116998	-6.21271096	-4.822939775	-4.996441244	-4.986535562	-5.655452122	-5.781506995	-5.871998281	-6.3512641	-6.172277082	-6.369917871	-5.979554339	-4.377717749	-6.283330832	-5.94538793	-5.0563056	-6.619649647	-6.598643899	-6.39475337	-5.845178728	-4.573362197	-6.680093596	-4.74890629	-6.033374624	-6.387628013	-6.565179831	-6.42450642	-6.474708733	-6.563775523	-6.52185281	-6.053618397	-6.179507747	-2.995447795	-4.914263952	-4.882684927	-6.559456032	-4.722483408	-6.262118121	-6.496369272	-5.076140855	-2.276836636	-6.184746131	-6.801373647	-6.173380974	-6.486629521	-6.60769356	-4.139784165	-6.703205059	-5.063617372	-6.568726088	-5.741048224	-6.813793476	-3.786352025	-3.761698084
4722	-4.10854473	-6.453977347	-5.662200526	-6.568719495	-2.99734771	-4.19531554	-6.118126704	-6.51285113	-4.414206597	-4.770263234	-6.702609443	-6.165749124	-5.291415239	-6.263338668	-4.756929601	-6.270112608	-5.936270276	-5.829353686	-4.84487818	-4.227603273	-4.920383305	-5.855517318	-5.537823764	-5.160985686	-4.664115872	-4.374480052	-4.024413106	-3.117867155	-5.59557781	-4.968336453	-4.657174364	-5.870615754	-5.496379119	-5.485951317	-6.579599681	-6.450898741	-6.291944358	-6.116212035	-4.651255483	-5.758872549	-6.491759367	-5.76978466	-4.904852041	-6.389272387	-4.855790675	-6.050982552	-5.740240077	-5.410227894	-5.153356427	-6.059641118	-6.157172639	-5.821786599	-5.046463104	-3.914185688	-5.876768459	-6.101502368	-5.933200735	-5.970140673	-6.40857272	-6.022778351	-5.958106036	-6.183067761	-6.586747558	-5.599051549	-5.474384721	-6.634899813	-4.89786921	-6.474229496	-3.290194824	-6.394063718	-6.045986524	-6.121926232	-5.367684771	-6.020199691	-6.173759631	-6.319267952	-6.598075062	-5.795483011	-5.293322945	-4.605668924	-6.37157074	-4.367604696	-6.148917732	-4.972683033	-4.616399414	-5.414060822	-5.784932046	-6.151461251	-6.524541755	-5.588344392	-5.223091696	-6.269975748	-3.660327018	-6.118865043	-5.747517318	-5.840427244	-6.158983169	-5.845825693	-5.215034993	-4.750689804	-4.893676106	-5.501852299	-5.74903949	-5.747659322	-5.934829547	-5.515464994	-5.995248234	-6.25821634	-4.995777388	-5.954139833	-5.736107135	-4.94802082	-6.525282545	-6.131479789	-6.594246148	-5.98193126	-4.345006988	-6.242511892	-4.866759206	-5.991465262	-6.34473645	-6.515982437	-6.312577617	-6.126251503	-6.242152434	-6.191066749	-6.192862961	-5.017570537	-4.101020369	-5.412370481	-4.997916133	-6.575605186	-4.132530195	-5.871416381	-6.204998682	-5.498364131	-2.675649386	-6.297413459	-6.42299777	-5.211659922	-5.898665694	-6.590458115	-3.711768577	-6.732698071	-4.387395614	-6.194358146	-5.372654519	-6.823448918	-3.971794545	-3.641404714	-4.407430007	-6.387386554	-4.901052637	-6.617820915	-3.1529172	-4.104287715	-5.69246801	-6.475341434	-3.419371187	-5.168701226	-6.637651819	-6.6694209	-6.016209435	-6.490962041	-4.386528799	-6.112102165	-4.991236307	-6.030339534	-4.613062577	-4.460618744	-5.762187919	-5.594315731	-5.482230008	-5.376853224	-4.884138179	-4.409670826	-3.909314041	-3.025397893	-5.547543165	-5.222664864	-5.08983682	-5.617134398	-5.575297956	-4.823962532	-6.683191998	-6.498884945	-6.553190931	-6.417426072	-5.31783889	-6.25961509	-6.660934576	-6.26477878	-5.479790412	-6.526771007	-5.792155095	-6.426308969	-5.818536476	-5.612776857	-5.995762381	-6.434612659	-6.418872134	-6.13442347	-6.069447604	-4.31680808	-6.408866547	-6.385661955	-6.498266299	-6.235846936	-6.190669623	-6.152319476	-5.904172483	-5.327726341	-6.468268696	-5.208186242	-4.992818116	-6.056786039	-3.844549998	-5.943723041	-3.498413027	-6.317967486	-6.157139243	-6.426713679	-6.266367852	-6.304202729	-6.66789066	-6.485902935	-6.631473387	-5.794432542	-5.735512511	-4.669027378	-6.003798544	-4.364288416	-5.866695633	-5.702472878	-5.258812644	-6.118634997	-5.019747191	-5.181577423	-6.091251403	-6.221878212	-5.260542287	-6.403377309	-4.530996795	-6.505374461	-6.266413439	-6.253407151	-6.44038398	-6.178830544	-4.574066959	-5.109291765	-4.942759349	-5.655452122	-5.617942857	-5.570947632	-6.3512641	-6.163240156	-6.40527356	-5.900783922	-4.394636976	-6.239561521	-5.880095504	-5.0563056	-6.704561952	-6.598643899	-6.434511676	-5.845178728	-4.51440187	-6.68084397	-4.74890629	-5.992921955	-6.476331755	-6.606659731	-6.419398167	-6.544802799	-6.563775522	-6.573422244	-6.053618397	-6.093451538	-3.11943389	-4.914263951	-4.689594405	-6.559456032	-4.77318167	-6.262118094	-6.496369272	-4.946530097	-2.570646981	-6.335914291	-6.787627307	-6.121329258	-6.486629521	-6.583664696	-4.150029299	-6.682913389	-5.364538088	-6.510744093	-5.754257382	-6.874719206	-3.797345273	-3.567417508
A6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A188	-4.31695351	-6.522919812	-4.813494401	-6.380555581	-3.09154664	-4.441596013	-6.070483276	-6.499273215	-4.366704671	-4.801737921	-6.702609443	-6.165749121	-5.320211072	-6.14484499	-4.756929604	-6.270112601	-5.554106429	-5.79773256	-4.889493793	-4.336553498	-5.480693842	-5.855517318	-5.537823764	-5.198699836	-4.580942166	-4.374480052	-3.961893075	-3.056270544	-5.595577811	-4.993148148	-4.828896621	-5.804791006	-5.496379119	-5.024423257	-6.579599677	-6.448243818	-6.290602748	-6.12730858	-4.829725408	-5.676119085	-6.5059269	-5.951186394	-4.983844421	-6.4102386	-4.98550775	-6.094763727	-5.751695897	-5.426525889	-5.172774404	-6.006830802	-6.030896631	-5.838649398	-5.474937436	-4.137897926	-5.911321023	-6.101502368	-5.933200735	-5.970140673	-6.469907743	-6.022778351	-6.061066239	-6.183067761	-6.52744646	-5.772338154	-5.472303213	-6.634899812	-4.893953601	-6.486582898	-3.331720686	-6.394063718	-6.321353998	-6.258078092	-5.577681231	-6.071192703	-6.363743689	-6.079315185	-6.566710835	-5.807215571	-5.290963919	-4.597627226	-6.333179783	-4.367604696	-6.056413	-5.238382995	-4.634579456	-5.414060822	-5.715817339	-6.153268562	-6.551463497	-5.65978261	-5.33001869	-6.3525847	-4.203844846	-6.137938069	-5.851696599	-5.840427245	-5.984761156	-5.837353798	-5.098023776	-4.751588028	-4.881983024	-5.536068486	-5.815624931	-5.757587254	-5.73034567	-5.48337508	-5.998262683	-6.255343888	-4.97320955	-5.923305011	-5.740705189	-4.775825068	-6.451302667	-6.131479789	-6.262924587	-5.965133589	-4.392752257	-6.491757299	-5.194567398	-5.884676273	-6.516783728	-6.515982437	-6.312577617	-6.126251503	-6.273310059	-6.19625698	-6.331220271	-5.330132044	-3.910979896	-5.032090085	-4.997916003	-6.569606823	-4.053929281	-5.853630754	-6.238277504	-5.427615319	-2.536708434	-6.292851047	-6.421822472	-5.21346211	-5.861613534	-6.35433263	-3.929498792	-6.732698071	-4.376756416	-6.204614155	-4.929217614	-6.823448918	-4.01292875	-3.772825422	-4.383359905	-6.387386554	-4.861092712	-6.539023332	-3.122541834	-4.252385519	-5.69246801	-6.475680008	-3.419371187	-5.359686934	-6.594161053	-6.650983559	-6.054089171	-6.529116158	-4.386528799	-6.087042525	-5.240906859	-6.106098012	-4.42589777	-4.508787796	-5.894403174	-5.485314798	-5.482186031	-5.468896228	-4.814016433	-4.417423454	-3.945081517	-3.088444591	-5.547543165	-5.217084944	-5.334450621	-5.644117046	-5.582097345	-4.699461784	-6.66900956	-6.515012279	-6.559493879	-6.402796671	-5.467271521	-6.259615094	-6.686960404	-6.285973624	-5.479790412	-6.526771007	-5.792155096	-6.426308969	-5.833601947	-5.625549347	-5.969500104	-6.438884023	-6.3894757	-6.024122905	-6.103286788	-4.580687994	-6.43785393	-6.316273096	-6.501894567	-6.235547498	-6.182097072	-5.956675091	-5.858164976	-5.328963277	-6.389969377	-5.022920054	-5.468444081	-6.245789316	-3.633266633	-5.946077335	-3.554462185	-6.319795255	-6.179287758	-6.156688785	-6.489735071	-6.288920837	-6.66789066	-6.508696421	-6.676640492	-5.794432542	-5.735512511	-4.538544574	-5.997985289	-4.289401342	-5.891143674	-5.981713413	-5.258812644	-6.118734662	-5.213219615	-5.433250897	-6.061211589	-6.286296603	-5.369798973	-6.403377309	-4.935421534	-6.508134113	-6.266413447	-6.340998608	-6.510116013	-6.339168523	-4.561564315	-5.217087253	-4.922200911	-5.655452122	-5.835773232	-5.622679221	-6.3512641	-6.184253754	-6.493984763	-6.001224639	-4.400459559	-6.334066996	-6.040273256	-5.0563056	-6.600493026	-6.598643899	-6.208688891	-5.845178728	-4.615172094	-6.680093596	-4.74890629	-6.072308033	-6.477459873	-6.559622484	-6.088869835	-6.438111496	-6.563775522	-6.610997713	-6.053618397	-6.109935159	-3.477628752	-4.914263953	-4.644675284	-6.559456032	-4.885501831	-6.26211811	-6.496369272	-4.973605643	-2.224356533	-6.510254864	-6.801373647	-6.274197187	-6.486629521	-6.439661964	-4.186784017	-6.662748064	-5.366779031	-6.562883534	-5.076970379	-6.87875293	-3.961429329	-3.621234952
