genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
835B	67.93677289	9.135305886	64.49818621	26.72025004	6.680964038	4.731577743	11.91635143	3.86516245	2.423353324	24.59622215	18.79497424	18.62311939	7.153490055	68.4927	68.6864	65.6974
8902	43.69869045	8.513997731	64.70291294	26.80042128	3.818339749	5.342441929	12.17566928	3.471413063	2.19224735	22.06787264	26.20848885	13.62160344	9.2424835	69.2422	67.796	65.028
9642	66.9779193	9.560822237	80.05559827	31.355266	9.671324291	5.445848406	11.31776236	3.968751914	2.53164936	18.98932119	23.86970102	18.98476086	8.505521537	75.9876	73.361	69.4907
975-12	65.4304244	8.699952637	72.58489228	27.02974829	6.084676944	5.503296448	12.58557367	4.25246909	2.487500327	24.02454806	24.04589619	18.88255495	7.711873101	68.3856	66.2378	63.8008
9782	45.74287539	9.060923924	59.55062342	24.9639407	5.911201466	5.524360731	8.331892508	3.99464928	2.412560935	16.9440231	20.36642219	10.62269506	7.351529908	69.9916	69.1316	66.2553
A619	44.82947857	7.673189864	62.62152446	28.96131568	7.688348969	5.508220566	10.85166241	3.994831656	2.528113922	18.80085393	23.36779017	13.41005032	8.450427744	67.1007	65.6813	60.9
B11	68.70498455	7.914224959	78.27708967	31.94443135	9.155918047	5.102117618	13.83311007	3.612754321	2.35785469	25.74844244	21.34552699	20.74055645	8.014701255	77.9149	77.1452	74.7344
B110	68.95616039	8.450554293	75.25316407	24.37179224	8.023586147	6.034690842	12.09430079	3.644122961	2.305381353	20.9982233	22.93527597	15.68043458	8.233030611	73.9533	70.24457	67.1478
B111	64.44460062	7.704546965	67.65325268	22.45514042	12.37330248	5.928822307	11.02837355	3.315116989	2.00431093	22.67278831	22.51550653	10.76611282	7.802649054	68.7068	67.4621	63.2429
B113	59.12784286	9.122179657	75.42831916	31.48130264	4.700777712	6.150544395	12.67095574	3.34903889	1.93434648	26.72882775	17.87138254	11.62566648	7.329772645	71.8119	68.7977	65.9206
