genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
CIMBL18	71.3295789	10.53981235	78.37410942	30.94881649	9.807985036	6.519169335	13.85787439	3.604729785	2.267794069	21.85059686	23.50686027	20.03537939	8.434564614	77.5937	76.9226	74.6228
CIMBL19	77.55410271	7.805181385	81.45638417	32.40308538	9.58542325	7.230567595	10.60932582	3.701936095	2.390790083	18.28685232	21.72836881	16.27745272	8.551193324	78.7715	76.7	74.5113
CIMBL2	63.77222221	9.721610765	84.3680533	35.59129024	7.137243592	5.419586443	12.09783855	4.297575511	2.891891844	20.9211106	24.865424	26.536826	9.275345631	72.9896	72.0254	69.0445
CIMBL20	78.42322634	8.279184086	86.86268649	35.00958268	12.24445092	6.609855173	11.48332955	3.562418595	2.162847395	19.07070478	21.12225449	16.27316448	7.930759255	82.6874	79.4825	77.3005
CIMBL21	62.61328031	8.058955138	77.50288342	32.75136413	6.925279985	5.728164501	11.9389931	3.789658862	2.305753505	23.03922559	23.6416634	13.01267352	8.096040637	73.525	74.3627	68.4866
CIMBL22	80.10604928	7.724236308	85.24382878	32.14952055	11.68218956	6.43942598	13.93039848	3.410317165	2.203784041	23.51681876	21.33698651	16.35892926	7.942671427	77.2725	76.2548	74.3997
CIMBL23	80.84544472	9.104678019	75.99131769	26.56363647	19.4757567	7.065472863	13.32721032	3.512812373	2.201551133	20.88256048	20.41827509	16.21884679	7.981385985	76.8442	75.6983	72.8377
CIMBL24	44.73276207	8.722558919	76.96528618	30.28507326	10.50300255	5.579893838	16.02342914	2.92469128	1.932192363	18.00429707	22.475079	17.20271716	7.904664776	74.3816	71.8028	70.1601
CIMBL25	67.65092926	9.461273897	80.13703409	30.51626472	11.10430983	6.512330282	12.67051971	3.367091208	2.171587855	19.36482324	22.53075773	15.69397796	8.103499754	79.4139	75.2531	73.1725
CIMBL26	78.06804713	9.48533865	75.30548312	30.987597	12.79890309	6.562255367	13.73405277	3.519742654	2.119491765	20.43280907	25.26865656	19.4407436	8.521900774	71.2765	74.3627	73.0609
CIMBL27	63.88472691	11.36895246	72.26870321	32.92438484	13.0058465	6.731727092	14.44936261	3.648245567	2.228765506	20.81924065	26.82983245	13.08400934	8.335773091	76.7371	75.4757	72.0568
CIMBL28	63.75930459	9.859436165	66.02226302	30.77728734	16.65859303	6.119768658	12.06011993	3.648245567	2.164560939	19.80461096	24.91738928	13.61778262	7.610619642	73.8462	72.0254	70.1601
CIMBL29	75.66912462	7.883938757	85.7215245	35.02449826	13.41582874	6.118947971	14.80245644	3.489468269	2.470244391	21.21666153	21.9586113	22.75126401	7.610619642	78.6644	77.9243	75.6269
CIMBL3	53.20495087	9.154995229	69.7642128	25.31221945	10.06568816	5.660868222	10.71221229	3.606188791	2.512062833	14.43826522	23.73076049	14.78943383	8.243453761	74.4886	71.8028	69.0445
CIMBL30	67.84403104	8.936224752	75.06208578	27.68155906	8.089964224	5.366378614	12.93275002	3.718532294	2.38316098	23.42258513	20.9795065	14.82516915	7.653801264	72.8826	71.5802	70.1601
CIMBL31	97.08399058	8.181466606	78.30131769	31.98544918	13.33773689	6.385123902	11.2151673	3.380225155	2.115025949	21.53148752	20.50978021	13.5172563	7.533190526	78.5573	77.0339	74.9575
CIMBL32	78.79916205	9.360639478	62.25301633	31.16882127	12.83404442	6.350655076	11.32395344	3.422353969	2.087300676	19.60826481	21.87320652	12.27366702	7.938204362	74.3816	72.4706	71.0527
CIMBL33	97.28172946	10.2400968	79.28400602	30.56101146	11.11602361	5.55158016	13.04542769	3.486915008	2.262956102	23.46970195	21.5761199	16.72200015	7.719318208	76.3089	75.3644	74.1766
CIMBL34	82.23215619	7.897064985	74.66628076	32.16816502	11.28001651	6.853325449	12.17566928	3.608012549	2.184990399	20.25505017	23.6362052	17.12652402	8.349174285	76.8442	74.8079	70.8295
CIMBL38	70.93156179	8.277178689	72.88629553	29.33140847	9.060255524	6.314271316	13.48198734	3.928629234	2.401954622	22.03263909	22.61922842	14.45638061	8.122843023	73.9533	73.361	69.937
CIMBL39	91.3324502	8.888095247	71.37927927	25.18767437	19.88964353	6.34203787	12.12154154	3.818838993	2.684231404	20.59985959	19.40761499	19.992497	7.549569762	79.521	77.5904	72.8377
CIMBL4	56.94134334	9.441584554	66.90258798	27.61145585	11.17849709	6.102944588	12.41993697	3.70303035	2.488345475	17.82853421	24.03882773	17.89840702	8.21218431	72.7755	70.5785	67.9288
CIMBL40	61.7269332	7.805181385	75.71038711	34.1355298	16.37997245	6.515339465	11.12053221	3.444421442	2.235975131	19.59541477	20.64398772	13.81028595	8.160068559	72.24015	70.4672	66.59
CIMBL42	62.71849814	7.960508424	73.54028371	28.39452371	4.001855609	6.28746223	12.69129787	3.823398389	2.324361071	17.16247378	28.74219098	16.45469993	8.970096232	70.9553	71.0237	68.2635
CIMBL43	52.10264774	9.039046876	69.12728518	28.80470211	10.41710151	5.367336081	11.27875921	3.763761497	2.615556761	19.16065507	22.44968879	15.45268144	8.060304122	72.4543	68.909	67.1478
CIMBL44	64.66530414	7.153245363	75.06436052	30.73254061	10.5810944	5.784518295	11.30840019	3.23268312	2.058558189	19.91024076	20.71485463	12.75966743	7.88459959	69.9916	67.5734	64.8049
CIMBL45	58.64094815	8.35757684	67.44397646	26.89284459	4.827676976	6.353527479	11.72601992	3.925711221	2.302031991	21.92341375	20.85042022	12.48807897	6.933114879	69.4563	67.5734	62.3504
CIMBL46	65.41033033	7.687045327	75.05298681	31.73188435	9.382384427	5.301270832	11.08780793	3.864068196	2.635665656	17.12820701	25.1228584	22.24763418	9.722052068	69.3492	68.5751	66.7015
CIMBL47	62.30038697	8.437428064	67.67145061	31.91087129	4.466502146	4.464444345	11.47253938	3.402110253	2.182943567	22.28107321	21.4065304	15.13964001	8.4057571	66.7795	68.3525	65.028
CIMBL48	57.57905397	6.897283905	72.50527632	32.75136413	7.445706419	5.952348648	11.89353288	3.68515752	2.178663826	19.28915547	24.61103976	15.83719353	8.371509606	69.4563	66.4604	66.4784
CIMBL49	63.28886052	8.236159225	76.77041666	30.49836603	9.218391531	5.6631935	10.44959594	3.737499379	2.354133177	19.94450753	20.70804131	16.66768246	8.328327984	71.2765	71.3576	65.6974
CIMBL5	50.57163437	7.096365039	85.80114045	31.79154667	12.24835551	6.250941688	9.134964138	3.533238465	1.990169179	18.26543559	19.28173265	10.04759457	6.919713686	74.5957	72.9158	68.1519
CIMBL50	49.68352914	6.380623784	74.02205364	31.84659695	6.568255968	5.707121333	13.24126809	3.095385714	1.91540889	22.16823693	19.4806258	13.29751865	7.529020258	68.7456	68.8982	63.1043
CIMBL51	71.78887889	8.693700913	72.80006511	35.84609753	10.02333768	5.825573729	12.26221752	3.449328086	2.434795085	20.31769074	21.3870842	14.43178687	7.806808641	77.0583	73.9175	71.7221
CIMBL52	57.46776375	9.043422286	73.19224826	35.60620582	17.12519186	6.569915106	13.17950882	3.59360486	2.226671348	27.18550529	20.99780753	19.47790834	7.793769281	72.7755	71.8028	67.0362
CIMBL53	77.0718451	9.181247686	70.3670193	30.38575341	10.19063513	6.04084599	13.05657164	3.799324781	2.292914284	24.9354088	23.75403811	16.74058252	8.696116284	78.8786	76.2548	72.6146
CIMBL54	72.46058784	8.463680521	77.64619214	37.65336894	11.97503402	5.823637676	14.6627149	3.944313555	2.297938327	24.58951231	26.45456294	18.57023111	8.313694859	66.8866	65.2361	61.2347
CIMBL55	52.55112083	8.347732168	73.31280956	36.97471013	11.47134155	5.276103118	12.28710873	3.573725896	2.156148671	22.88716678	23.0388362	16.86208262	7.346736822	70.0987	68.4638	65.3627
CIMBL56	86.60195342	8.951538685	70.58994397	33.51877063	13.95466254	4.977099735	12.55827807	3.461382393	2.233742223	24.02218777	23.19376831	12.56383785	8.085617487	69.5634	69.1316	65.4743
CIMBL57	67.58280817	8.395861673	79.37499568	32.13385919	12.52948619	5.897773007	12.39058823	3.570807883	2.328082584	20.89182459	21.65969457	16.89067088	8.533812945	70.8482	68.7977	65.5859
CIMBL58	55.01628752	7.868624823	75.30775786	34.42675646	15.05966229	5.627767207	12.38262827	3.392079583	2.268538372	18.97218781	21.72374816	16.24743505	8.198783117	71.7048	69.3542	64.5817
CIMBL59	53.30365469	7.522967469	78.56746245	32.08985823	9.548608518	5.853729508	11.94571485	3.751359941	2.518810139	16.94830645	27.08594828	16.95737682	8.591483243	66.1371	64.5683	62.6851
CIMBL6	48.00500367	7.748301061	69.0135481	27.52569127	7.820547324	7.235354932	10.56421938	3.623332118	2.371624289	17.87136768	23.18408505	16.61908242	8.496587409	70.9553	70.4672	68.1519
CIMBL60	69.25348634	8.500871502	70.79922019	29.55793882	12.0375075	6.009386347	11.10726561	3.811908712	2.51192534	16.02524521	27.18355374	17.93414234	8.807776488	69.5634	68.3525	65.2512
CIMBL61	67.61206601	8.748082141	69.73009168	26.82465909	8.148533116	5.692191084	12.64619142	3.622602615	2.322872465	20.21435838	23.30556669	13.92035075	8.55912631	70.527	70.24457	66.59
CIMBL62	54.97830752	9.244691125	72.4711552	27.42426534	13.08784295	5.999674893	9.633788367	3.064532617	2.000217265	15.51124359	22.99261918	7.728133813	7.682092672	72.026	70.24457	68.2635
CIMBL63	66.86582534	9.270943582	70.27148016	26.04084545	9.843126372	6.097199784	12.89277333	3.70303035	2.481967158	18.5781199	20.78551565	16.41848813	7.930759255	74.3816	72.4706	68.2635
CIMBL65	95.31714794	9.892251737	69.15003259	32.01155145	12.26006929	6.962066387	11.72955768	3.90966215	2.378695164	23.62818578	19.94732873	22.04799284	7.798236345	78.6644	79.8164	74.6228
CIMBL66	41.52256919	8.872781313	70.9698258	31.13376966	12.20540499	4.558412929	11.72018261	3.07966981	1.901225012	21.04747801	20.10715768	12.43804951	7.615086706	68.2785	67.796	65.6974
CIMBL67	68.52259224	8.400237083	77.64619214	31.5074049	11.73294927	5.630639609	12.13144727	3.51208287	2.051574148	24.29025754	20.96120548	14.18908039	8.236008654	74.9169	73.9175	72.7262
CIMBL68	67.73009106	8.691201817	76.05614782	29.07243674	10.90908019	6.879724192	10.77082459	3.356333923	2.143123375	15.85176966	21.27943996	12.24650818	8.055837057	77.4866	76.5887	75.4038
CIMBL69	44.58360226	8.800587056	71.81148016	31.44475947	11.88913298	4.391676824	12.23846453	3.131282166	1.99872866	23.44281116	21.98606284	11.63043119	7.963517727	68.9209	69.3542	64.9165
CIMBL7	95.16887139	10.11758533	76.31546835	29.6399745	11.32296703	5.388400363	13.01411851	4.074347512	2.632316294	20.51633433	25.14481963	20.01536761	8.103485744	80.0563	76.9226	73.9534
CIMBL70	91.40896222	9.181247686	68.62684205	28.30875913	10.93641234	6.901198818	11.33014452	3.606188791	2.239510568	21.24636849	21.5010857	13.43149152	7.713362122	77.5937	75.587	73.5072
CIMBL71	73.47346132	8.104896939	80.66022464	28.14841667	9.409716575	7.241099736	13.75174157	3.790753117	2.613894803	22.56163242	23.89851988	20.76438	8.221118439	74.0604	73.6949	71.6105
CIMBL72	78.3925332	8.415551016	76.13348903	36.75843424	11.41556165	5.367062519	13.39619664	3.305268694	2.074275379	20.43923409	22.61439801	15.36834608	8.602307932	76.7371	72.1367	69.7139
CIMBL73	70.41993592	7.608287955	80.26214487	39.17475793	14.09522788	5.659363631	11.71929817	3.737134627	2.437867225	20.99821084	22.30328059	17.1908476	7.869709375	68.8139	66.7943	63.9123
CIMBL74	57.81322714	9.550969793	62.88311973	27.49958901	13.59599781	5.993519745	13.32367256	3.37566576	2.143867677	21.28095813	20.50978021	12.70963798	7.917358062	73.7391	72.8045	68.9329
CIMBL75	55.87414963	9.257817353	61.90498088	31.29336635	8.203197414	5.498509112	12.44630795	3.935924267	2.399535639	19.51112113	27.35680344	19.25968462	8.792902679	71.8119	68.1299	66.2553
CIMBL76	54.87408335	7.072300286	66.06320836	26.90371166	6.339591072	5.034821339	9.900889284	3.580656177	2.193363804	18.14121853	23.30318912	11.21590143	8.524878816	67.3149	66.1265	64.5817
CIMBL77	69.06579451	9.299383744	86.69966335	37.83981367	3.906890335	5.600410997	12.80981284	3.475790083	2.206575176	22.70298287	24.39449212	13.53250337	8.049880972	73.9533	72.4706	68.8213
CIMBL78	61.43556922	9.651604212	64.98043141	31.12407454	11.97893861	4.820622209	10.54299281	3.105749551	1.762412567	17.62022035	22.08126972	8.828781792	8.045413907	71.8119	70.27588	66.59
CIMBL79	48.69902185	8.503059207	67.28246981	33.13469449	9.722083996	4.934560827	11.73734075	3.595428618	2.448659614	19.64659725	21.85063526	17.05394809	8.192827032	71.0624	69.5768	64.9165
CIMBL8	70.88397639	8.247097749	69.33201192	24.69546029	7.699504949	6.203478663	10.82247589	4.045714509	2.691302279	18.46246954	25.1978926	16.30461157	8.103485744	73.0967	70.9124	66.7015
CIMBL80	70.72675687	8.017388748	77.56657618	32.98852183	15.94600485	6.416173201	11.6510194	3.761572987	2.473221601	20.33857544	26.41674082	16.88714394	8.853881169	77.9149	76.8113	73.6187
CIMBL81	57.15321431	7.540469108	67.500845	24.78122486	10.61233115	6.03181844	11.54948567	3.780540072	2.601613809	19.28576623	22.0836683	17.56487732	8.230447697	72.026	69.2429	67.1478
CIMBL82	83.43470884	8.767771484	70.93342994	28.99562151	9.815794223	6.094053819	12.74082651	3.650323739	2.337200292	20.5771131	22.19347445	20.41417382	8.599329889	74.8099	73.6949	72.0568
CIMBL83	28.81472763	8.833402628	72.9261035	29.06572473	10.34681884	5.490302248	11.98152642	3.833154775	2.581411484	21.70704162	22.83952381	13.95806308	9.236631073	68.7068	68.1299	64.9165
CIMBL84	52.57949542	7.109491268	73.9724846	29.52139565	6.094717326	5.912135018	12.02239504	3.572133949	2.27380453	20.91724465	22.24238965	18.32165962	8.515944688	68.2785	67.5734	63.6892
CIMBL85	60.07255555	8.058024753	71.79597333	27.88936828	8.959787334	5.259950218	9.857705245	3.243873411	2.174143711	18.68027278	21.6253915	15.85963038	7.754505517	71.3343	70.9026	67.6999
CIMBL86	76.03115956	9.242566672	68.73658518	32.79099019	9.214748033	5.023755786	12.88422901	3.226596541	1.91540889	22.41719681	20.9104696	12.01646279	7.54830628	72.026	72.4706	68.0403
CIMBL87	55.13530622	7.779658163	70.78026401	30.92122267	9.370670649	5.753195434	12.47107228	3.014561643	1.781020134	18.97218781	24.48507911	11.31357799	8.854346515	69.8846	69.2429	65.6974
CIMBL88	59.76389738	8.721829684	75.83777264	26.5412631	6.172809181	5.857559378	10.35127248	3.95455981	2.704789662	18.44230828	21.3870842	25.28740088	7.802567597	72.5614	71.8028	68.9329
CIMBL89	51.21718389	7.658605165	70.79922019	31.55662631	7.242667596	5.294158217	12.34934404	3.363410677	1.954698252	21.74737081	21.11371401	12.41679275	7.908423933	69.6704	68.1299	64.8049
CIMBL9	57.11236373	8.085207596	78.33088933	26.94845839	6.817066986	6.378011287	11.6710531	3.505152589	2.226671348	21.64927956	19.54592627	15.56369918	8.24196474	76.4159	75.1418	72.6146
CIMBL90	56.67327523	7.812838352	79.98917589	29.24284722	3.783198414	4.568808289	10.99228839	2.775284572	1.791440371	18.22260212	18.08062425	10.34681835	7.575753199	74.0604	73.2497	70.8295
CIMBL91	71.16882636	7.776741223	77.8577431	31.5603552	4.482120518	6.191852273	12.21016244	3.798230526	2.230765012	22.84647499	22.13857138	18.29864264	7.84081845	72.026	72.1367	70.0486
CIMBL92	48.97901391	7.284507649	73.39242551	34.21010769	3.940497722	6.311398914	11.98109245	3.48636788	2.09697661	22.60018254	21.4278816	13.23137371	8.594862825	69.7775	71.9141	66.9247
CIMBL93	63.34605133	6.868843743	71.73186421	26.11989801	12.87113805	5.945646376	9.495815708	3.337366838	2.150938552	18.99360454	21.36382801	13.29140905	7.740164509	71.4906	71.4689	65.9206
CIMBL94	50.57008867	7.299821583	76.45195284	26.87313472	5.293718012	5.574149034	9.792987589	3.480349478	2.177733448	19.44335595	21.77255089	9.343370457	8.684204112	69.9916	68.7977	66.7015
CIMBL95	63.85149441	8.890282952	80.34176083	32.40830583	14.30607589	6.152048986	13.30244599	3.378948524	1.975655277	22.21896468	21.22352016	16.25458211	7.714851144	69.028	67.2395	64.247
CIMBL96	65.64063926	9.91194108	69.19552742	30.62291111	12.76376175	5.45542308	12.65415138	3.802607546	2.386696418	19.95735757	25.25889602	16.50187055	8.173469753	69.9916	70.6898	67.7056
CIMBL97	60.208175	9.917447529	71.20184944	24.77003818	11.81104112	5.548160634	12.38899623	3.503328831	2.297566175	18.4325549	21.60052126	15.22302243	7.470651625	72.24015	70.9124	68.0403
CIMBL98	59.44460044	9.418987809	66.79567513	26.59272185	12.87699494	5.608891422	11.7529069	3.660719161	2.421492567	21.13054748	23.2897058	17.37238305	8.791413657	70.2058	68.909	65.9206
CIMBL99	63.27649494	9.979759928	59.43233686	27.97837907	8.765458771	6.519169335	12.0748431	3.984071483	2.293472511	21.65784625	24.42314924	13.85316834	8.014144457	77.0583	73.6949	71.6105
CML113	53.49454833	7.9955117	72.28917588	26.96262819	9.934884302	5.440103601	11.49818814	3.774339294	2.355621782	18.07696832	24.15595429	14.68365727	8.720753629	72.3472	70.5785	65.5859
CML114	75.57329137	7.700171556	79.98917589	32.25392959	12.56964771	6.51342453	12.04565658	3.557676824	2.133075289	23.20627612	27.56177491	12.5023731	8.527856859	71.4906	69.3542	67.1478
CML115	76.16142927	7.940819081	78.51059391	30.42304236	11.94770187	6.161076536	11.90856836	3.620414105	2.247697898	24.02225368	25.38090285	12.18790225	9.092195992	71.2765	68.5751	66.2553
CML116	68.66170502	8.13771251	72.323297	29.65116118	12.08241032	6.115118102	10.86634412	3.932276751	2.418143205	21.10957786	25.69202026	13.2085031	8.493609366	70.527	69.3542	66.2553
CML118	55.87801387	8.859655085	74.22270616	31.17627906	10.0958093	5.610669576	12.61753556	3.195478453	1.900108558	23.57678561	22.07390776	12.8997499	8.307481684	73.525	71.5802	69.7139
CML121	77.02459092	8.599318217	62.05966331	28.14431488	13.93709188	5.403035936	11.38763313	3.033711104	1.444223183	21.15669467	20.42437543	5.980676471	7.305370243	72.5614	71.135	69.156
CML122	63.96245341	7.943006786	68.53585239	34.3652297	12.08045802	5.854413413	13.18481546	2.515946162	1.361285149	23.43757685	17.36810438	4.783543118	7.092440175	73.9533	70.6898	67.0362
CML130	56.93781032	7.435459279	74.1203428	29.85465228	11.35420377	4.758386829	10.4531337	3.620049353	2.171268879	19.03643801	20.01931276	8.811628836	7.360464037	68.8139	66.9056	62.3504
CML134	76.42298337	8.413363311	78.62433099	29.68845012	9.973093531	4.86753811	11.89105645	3.833246683	2.358412917	24.67974742	25.06063492	14.42493353	9.08028382	72.6684	69.3542	67.37094
CML139	66.96452917	8.446178883	71.74323792	38.33575665	12.21711877	5.738833423	13.55362699	2.633396187	1.397939249	24.43345498	17.69752281	5.083719839	7.090951153	72.9896	70.8011	66.4784
CML162	92.97398094	9.649416507	73.34010646	29.62953359	12.29521062	5.520530861	12.16328712	3.579926674	2.448690103	21.22951157	19.80397071	20.5442504	7.705917015	72.7755	70.6898	69.156
CML163	97.58479657	8.800587056	79.42049051	32.5261389	13.57201245	5.128926704	12.02000782	3.76230249	2.434145712	20.49277592	22.11417001	16.52140586	8.270256147	79.521	77.3678	75.0691
CML165	71.75232716	7.822683023	88.87204149	31.31051927	9.030971079	5.346271799	11.13733657	3.44059155	2.311707926	19.73034019	17.583935	14.54833951	7.900193067	78.8786	76.5887	73.1725
CML166	101.0548875	8.923098523	78.7949366	33.23537465	13.20107614	5.261057202	12.67449351	3.893248326	2.417771054	21.02391092	22.26417568	16.85493556	8.118606834	78.7715	76.3661	74.2881
CML168	82.55443412	7.479213374	81.62698978	27.13415734	9.155918047	6.181183351	12.64017723	3.5186484	2.407722968	18.29113567	24.53722563	17.22420057	8.97521627	74.8099	73.5836	69.6023
CML169	82.1260551	8.603693627	88.78105183	34.0400701	15.76639358	6.996124869	11.99701237	3.552935053	2.341107881	22.01978905	23.44526451	15.26066363	8.358108413	78.2361	75.8096	73.7303
CML170	69.83720796	8.822464104	82.03644325	33.19920437	8.511660242	5.505211383	13.23169564	3.565336608	2.275981398	21.61715445	20.05225461	12.80254982	7.929270234	73.9533	73.361	70.718
CML171	84.55533952	8.872781313	79.35907249	30.43273748	10.60452196	6.981626077	12.58835163	3.830875797	2.397302731	24.41632159	22.03242543	21.91648684	8.02754565	77.0583	74.9192	72.0568
CML172	76.13283387	9.010606714	77.15712271	30.50433226	9.745511554	6.547893356	12.50556544	3.783640461	2.431726729	22.6922745	23.14390764	23.5331529	8.243453761	77.8078	75.8096	73.0609
CML189	63.93650777	7.831433842	72.75549789	28.98368905	7.128876607	5.493721774	10.15207028	3.495669047	2.196154939	18.73660373	19.21223759	11.63567237	7.763988852	70.4199	67.796	65.2512
CML191	46.43612071	8.054579729	65.7663546	25.30513455	11.23901828	7.398124386	8.963382755	3.647405726	2.495550681	17.07680685	19.01316312	14.20099216	6.998631823	71.3836	70.13327	68.2635
CML192	60.85902406	9.056548514	76.75904295	23.84900122	8.175865265	5.219886105	9.879662721	3.83379381	2.583378394	19.246322	17.90493442	16.15452321	7.829505796	75.8806	75.2531	73.1725
CML20	85.49998151	9.113428838	82.69611829	38.45877631	6.813162393	5.69301177	12.0069181	3.516824641	2.149077796	18.12408514	26.23495065	16.47804701	8.87628788	76.523	74.9192	70.6064
CML223	73.94412621	7.864249414	88.53083026	26.19127138	5.204470177	6.424380064	13.45633857	3.962186385	2.83458054	21.38157038	26.99444315	26.33194347	8.69164922	74.9169	75.3644	71.4989
CML225	65.75192948	10.1022714	81.91133247	30.52931585	11.26830273	6.64842743	12.20220248	4.003038568	2.72814526	18.39393599	24.65191205	16.5440646	8.076683358	74.9169	70.8011	69.2676
CML226	82.56138975	8.015201043	90.91930885	28.51384833	10.46395662	6.3822515	11.43397779	4.145109328	2.737635119	20.38783392	24.56345709	17.69301158	8.502543495	76.9513	75.6983	73.6187
CML228	74.70770078	9.240315715	75.05298681	26.58600984	8.738126622	5.244780257	12.15886492	4.162982159	2.784712262	18.96576279	27.27810903	21.57199832	9.345329639	73.0967	74.474	72.8377
CML27	61.65296053	9.036859171	85.22108137	31.07559891	12.9550868	6.69506977	12.38793491	3.789294111	2.534068344	19.48404775	23.12072635	20.07111471	8.553170224	78.6644	75.4757	71.4989
CML28	75.78571437	8.621195265	77.46421282	31.09275182	13.50172978	5.767967787	12.29595313	2.97808648	1.922437638	20.21435838	18.39601191	12.56669668	6.854196742	82.0907	82.0158	78.7508
CML286	73.18220775	8.951538685	77.15712271	26.52634752	10.63966329	6.212095869	11.15290272	3.267881652	2.071856396	18.77087051	21.89882796	15.78001701	7.970962834	76.8442	74.9192	72.9493
CML287	82.29089269	9.277506696	80.32356289	26.86791427	9.538568137	6.667576778	13.93216736	3.728380588	2.475826661	21.23807826	23.53554956	21.10172146	8.240475718	78.022	77.3678	76.1848
CML290	87.445021	9.001855895	68.86568991	27.01856161	14.79805458	6.277887556	12.10952156	3.347534633	2.024412912	21.46203161	18.8330764	13.55106096	7.89502274	77.9149	76.5887	73.3956
CML298	62.48189602	8.791836237	67.2870193	28.54367949	13.45877926	6.113750291	10.73525791	3.66785715	2.24409794	19.44718459	21.68156771	16.13986135	8.005210328	78.3432	75.8096	73.9534
CML300	93.6440408	8.658386246	83.21930884	31.33289263	15.94600485	6.312356381	12.6125827	3.815191477	2.241929552	20.0194661	24.10837162	16.50403161	8.417669272	80.9129	77.813	73.0609
CML304	79.02715243	7.991136291	71.93659095	33.76786079	13.47439763	6.726939755	12.91010835	3.1724991	1.975283126	21.11171953	22.48934101	12.23251096	8.428092422	74.1674	73.4723	70.6064
CML305	94.16803225	8.779439243	84.49695532	30.85932302	15.79372573	6.173523612	11.84931087	3.64284633	2.271329507	19.02572964	24.33164412	13.80075653	8.335773091	82.1424	77.4602	75.2922
CML307	79.17708509	8.225220701	78.05337087	33.7074527	10.6357587	6.721194951	11.91210612	3.127634649	2.069437412	19.03643801	23.05972293	15.64708161	8.099522136	80.9162	78.4624	75.5154
CML31	74.47198191	8.465868226	80.62610352	29.6645852	8.246147935	6.678108919	11.41947297	3.365270338	2.23727766	18.22260212	21.45533313	13.92178016	7.985013947	74.5957	73.6949	70.8295
CML32	74.14274834	8.284321123	80.15068254	26.57034848	12.17026366	5.551306598	11.17874986	3.578671143	1.904628272	18.21925208	23.19054186	14.46848378	7.987053012	76.7371	76.0322	73.5072
CML323	62.17518547	7.79986308	79.22713749	31.12407454	5.47277148	5.772344781	12.41715901	3.550654597	2.378975443	21.13054748	20.2371486	14.20826931	8.599883874	73.525	72.0254	69.8254
CML324	59.03664671	9.844122232	75.30775786	30.89288307	15.28222408	5.241771074	11.58574772	3.616401837	2.288076316	21.58361756	28.5835821	13.94608018	9.242587159	72.13307	70.6898	67.0362
CML325	49.04768704	8.382735445	70.38976672	30.57965593	9.850935558	6.358178034	11.8784974	3.931911999	2.558072104	20.81399788	25.62796667	20.95735075	8.56954946	70.3129	67.796	65.809
CML326	54.45188712	8.093958415	77.96465595	33.99159447	12.32644736	6.43162946	12.33309962	3.533056089	2.362506582	20.67267648	21.57123962	14.30343342	8.387888842	71.9189	69.6881	68.0403
CML327	76.67504247	8.032702681	77.83727042	32.99970851	8.513612538	5.693695675	11.0188216	3.220281564	2.138657559	16.41502977	20.33523173	17.70114819	7.784835152	74.7028	74.6966	71.1642
CML338	71.17732769	8.225220701	79.1020267	33.66419752	11.72904467	5.440103601	11.63262304	3.727468709	2.266491539	19.55043963	18.74007116	13.15740317	7.866731332	73.3109	69.0203	67.37094
CML360	92.49437309	7.722048604	74.43880661	32.812518	13.12298429	5.571686975	11.72548926	3.434755524	2.274120642	22.27036484	21.49498535	16.25382538	8.910535374	76.3089	73.5836	70.6064
CML361	65.95275975	7.789867452	74.39331178	29.11792925	8.378904088	5.270631876	11.42955559	3.439132543	2.278958609	19.10497156	20.9730748	19.45779947	8.700583348	73.2038	71.8028	68.9329
CML364	76.81205751	9.161558343	70.69913156	29.78092671	15.27831949	7.329323516	11.40461438	3.590869223	2.214204278	19.60283801	21.10218489	13.69307409	8.393844928	77.7008	75.1418	71.1642
CML408	78.53440615	9.023732943	83.15106659	35.140094	14.07960951	6.358178034	12.43127247	3.417429822	2.020127361	21.98952375	23.02739112	13.67449172	8.171980731	77.1654	82.1537	72.0568
CML411	62.37645737	8.693389522	84.83437531	34.5210975	10.33510506	5.47361496	12.04123438	3.937018522	2.549884775	21.06246104	26.4484626	17.85552463	9.342351596	73.3109	71.5802	68.375
CML412	72.42547842	8.52274855	74.79139154	30.90406976	13.0058465	6.775770592	11.0099772	3.743700157	2.538534159	18.68673451	26.24715133	15.73999345	8.989453511	77.1654	75.1418	73.5072
CML415	73.83824593	8.557751826	81.21753631	34.67398218	7.843974881	5.467870155	12.91859898	3.473236821	2.126190489	19.63794984	25.17349124	20.82155652	8.486164259	77.4866	75.3644	72.9493
CML422	57.00493775	6.958539638	63.9772704	29.95320164	13.80238343	6.000085236	12.75674644	3.181435515	1.739153109	20.9853608	24.31639327	8.271310738	7.808659496	68.7068	66.2378	62.6851
CML423	65.11896635	8.013013338	71.5612586	30.32981999	15.26074882	5.780961987	10.41740231	3.354510165	1.847635221	17.81140082	22.52899323	7.956839887	8.064771186	68.3856	66.2378	63.0198
CML426	70.64174351	8.358670692	66.69331176	27.96570083	13.8687615	5.74362076	10.85254685	4.023099907	2.504854464	17.98701804	27.6563302	18.63693704	8.913513417	67.8502	66.5717	64.247
