method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0,575966.924826859,0,575966.924826859,0,0.05,17
medfix0.5,groot,0.030956272297288,624057.373192466,19318.4899736762,567672.529780272,2,0.05,13
medfix0.5,l3t,0.0556178724896236,420654.450624269,23395.9055970133,363156.172185879,2,0.05,12
medfix0.5,l3b,0.0186688821907567,505339.487967494,9434.12336720246,469000.117499171,1,0.05,16
medfix0.5,ld268,0.497045087378106,107058.94628739,53213.1233120236,42788.6328442907,2,0.05,1
medfix0.5,ln268,0.403354343550592,140771.517599604,56780.8030720089,67927.1318870893,2,0.05,4
medfix0.5,kern,0.0559256985685753,307561.577094434,17200.5960518589,252578.578096404,3,0.05,23
medfixbic,gs,0,789608.330670588,0,789608.330670588,0,0.05,18
medfixbic,groot,0,1190460.82538499,0,1190460.82538499,0,0.05,60
medfixbic,l3t,0,972043.009622777,0,972043.009622777,0,0.05,19
medfixbic,l3b,0,1005854.19365421,0,1005854.19365421,0,0.05,33
medfixbic,ld268,0.0769268813706896,217245.828553482,16712.0440814109,178332.668590304,1,0.05,9
medfixbic,ln268,0,545533.551249967,0,545533.551249967,0,0.05,20
medfixbic,kern,0.0109111539054857,604699.209552428,6597.96614195209,591801.759825668,1,0.05,44
medmix.linear,gs,0,3568.23119122028,0,3568.23119122028,0,0.05,0
medmix.linear,groot,0,5759.00358222534,0,5759.00358222534,0,0.05,0
medmix.linear,l3t,0,2534.36132402697,0,2534.36132402697,0,0.05,0
medmix.linear,l3b,0,4.3459746258094e-13,0,4.3459746258094e-13,0,0.05,0
medmix.linear,ld268,0,2.54023291400332e-13,0,2.54023291400332e-13,0,0.05,0
medmix.linear,ln268,0,3.92177130105811e-13,0,3.92177130105811e-13,0,0.05,0
medmix.linear,kern,0,4.40572490754556e-13,0,4.40572490754556e-13,0,0.05,0
medmix.shrink,gs,0,3507.58949598765,0,3507.58949598765,0,0.05,0
medmix.shrink,groot,0,4220.21792988283,0,4220.21792988283,0,0.05,0
medmix.shrink,l3t,0,8089.04385132058,0,8089.04385132058,0,0.05,0
medmix.shrink,l3b,0,4.34340562976107e-13,0,4.34340562976107e-13,0,0.05,0
medmix.shrink,ld268,0,2969.40737991408,0,2969.40737991408,0,0.05,0
medmix.shrink,ln268,0,3.71934898031226e-13,0,3.71934898031226e-13,0,0.05,0
medmix.shrink,kern,0,17113.2027339062,0,17113.2027339062,0,0.05,0
