method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.103334936239838,135948.483348653,14048.2278587358,110665.811441429,3,0.05,9
medfix0.5,groot,0.0344909335783872,113014.585314899,3897.97855548514,103227.166789275,1,0.05,6
medfix0.5,l3t,0.0303652231314226,126262.346384945,3833.98432107582,117352.929660691,1,0.05,9
medfix0.5,l3b,0.0290549186416181,131385.93913528,3817.40777222815,122779.755043206,1,0.05,8
medfix0.5,ld268,0,65890.7776243706,0,65890.7776243706,0,0.05,7
medfix0.5,ln268,0.101421562133397,53806.8877808498,5457.17861227019,41458.1383741811,1,0.05,4
medfix0.5,kern,0.162040380124027,64579.009285527,10464.4072126598,47476.8433328296,2,0.05,4
medfixbic,gs,0.0221136584213038,195210.804712495,4316.82505555997,187551.227150326,1,0.05,20
medfixbic,groot,0.00874850024955065,241966.03114453,2116.8398838507,231273.734944093,1,0.05,25
medfixbic,l3t,0,236357.512420093,0,236357.512420093,0,0.05,19
medfixbic,l3b,0.0206808609305129,185203.998146563,3830.17812944404,168128.11388771,1,0.05,14
medfixbic,ld268,0,144829.172847769,0,144829.172847769,0,0.05,18
medfixbic,ln268,0.531251358093074,46725.2186071846,24822.8358422626,13326.5548298875,4,0.05,2
medfixbic,kern,0,180647.24694524,0,180647.24694524,0,0.05,12
medmix.linear,gs,0,6330.32033792356,0,6330.32033792356,0,0.05,0
medmix.linear,groot,0,1182.8329792414,0,1182.8329792414,0,0.05,0
medmix.linear,l3t,0,21590.3057847276,0,21590.3057847276,0,0.05,0
medmix.linear,l3b,0,10846.1049716784,0,10846.1049716784,0,0.05,0
medmix.linear,ld268,0,409.927163876181,0,409.927163876181,0,0.05,0
medmix.linear,ln268,0,20264.9947786167,0,20264.9947786167,0,0.05,0
medmix.linear,kern,0,12923.982126028,0,12923.982126028,0,0.05,0
medmix.shrink,gs,0,791.189838031468,0,791.189838031468,0,0.05,0
medmix.shrink,groot,0,27298.2008727787,0,27298.2008727787,0,0.05,0
medmix.shrink,l3t,0,7795.98989214735,0,7795.98989214735,0,0.05,0
medmix.shrink,l3b,0,33390.1390724501,0,33390.1390724501,0,0.05,0
medmix.shrink,ld268,0,404.825580236457,0,404.825580236457,0,0.05,0
medmix.shrink,ln268,0,780.299868274174,0,780.299868274174,0,0.05,0
medmix.shrink,kern,0.149030193812458,32649.4029440489,4865.74684861264,28684.303741799,1,0.05,0
