OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148167.6_FG001,AC199068.2_FG017,AC234171.1_FG003,GRMZM2G000816,GRMZM2G008259,GRMZM2G010152,GRMZM2G010491,GRMZM2G010637,GRMZM2G010831,GRMZM2G013600,GRMZM2G014009,GRMZM2G015080,GRMZM2G015267,GRMZM2G018022,GRMZM2G018823,GRMZM2G018869,GRMZM2G019686,GRMZM2G019783,GRMZM2G020606,GRMZM2G020940,GRMZM2G021661,GRMZM2G024607,GRMZM2G028004,GRMZM2G030823,GRMZM2G031718,GRMZM2G031790,GRMZM2G034043,GRMZM2G034645,GRMZM2G040441,GRMZM2G048210,GRMZM2G049866,GRMZM2G055217,GRMZM2G055699,GRMZM2G058089,GRMZM2G058734,GRMZM2G059991,GRMZM2G063756,GRMZM2G065030,GRMZM2G071319,GRMZM2G073888,GRMZM2G074102,GRMZM2G075257,GRMZM2G077258,GRMZM2G078500,GRMZM2G079281,GRMZM2G082564,GRMZM2G083437,GRMZM2G084086,GRMZM2G085872,GRMZM2G087103,GRMZM2G087817,GRMZM2G088291,GRMZM2G089498,GRMZM2G090374,GRMZM2G091003,GRMZM2G091435,GRMZM2G092648,GRMZM2G095868,GRMZM2G096365,GRMZM2G099989,GRMZM2G101080,GRMZM2G102923,GRMZM2G106056,GRMZM2G106552,GRMZM2G108416,GRMZM2G111208,GRMZM2G111529,GRMZM2G113127,GRMZM2G114617,GRMZM2G115504,GRMZM2G115598,GRMZM2G117513,GRMZM2G118957,GRMZM2G123362,GRMZM2G124416,GRMZM2G126002,GRMZM2G127299,GRMZM2G129907,GRMZM2G130425,GRMZM2G131165,GRMZM2G132882,GRMZM2G133988,GRMZM2G134694,GRMZM2G138881,GRMZM2G139256,GRMZM2G143242,GRMZM2G145213,GRMZM2G146004,GRMZM2G146041,GRMZM2G146948,GRMZM2G150264,GRMZM2G152470,GRMZM2G152616,GRMZM2G153017,GRMZM2G155341,GRMZM2G156218,GRMZM2G159082,GRMZM2G169080,GRMZM2G171423,GRMZM2G172320,GRMZM2G172427,GRMZM2G174481,GRMZM2G178859,GRMZM2G180172,GRMZM2G306597,GRMZM2G308189,GRMZM2G315769,GRMZM2G324860,GRMZM2G327263,GRMZM2G329750,GRMZM2G335377,GRMZM2G335407,GRMZM2G336908,GRMZM2G342033,GRMZM2G358791,GRMZM2G359566,GRMZM2G365770,GRMZM2G375197,GRMZM2G376265,GRMZM2G386281,GRMZM2G399183,GRMZM2G426556,GRMZM2G431114,GRMZM2G442265,GRMZM2G447987,GRMZM2G463227,GRMZM2G473925,GRMZM2G556515,GRMZM5G806649,GRMZM5G816453,GRMZM5G842071,GRMZM5G857930,GRMZM5G882527,GRMZM5G884600,GRMZM6G348677,GRMZM6G443309
KAKRNA23_10346932_L3Base_CI28A_TGGCGA,L3Base,L3Base,CI28A,CI28A,282set_CI28AGoodman-Buckler,CI28A,CI28A:8042MABXX:2:C4,CIze28,1.32186,85.65631,22.20719,1.58623,15.59791,66.3572,7.13803,18.50599,41.77067,51.81678,87.77128,15.33354,35.69013,3.43683,0,10.31048,3.96557,26.7015,4.75868,15.86228,307.9926,1.32186,26.7015,10.83922,4.75868,2.37934,7.66677,18.50599,0.79311,5.02306,3.43683,31.46019,10.57485,0.26437,14.27605,1.32186,117.1165,188.23239,0.79311,7.4024,7.66677,15.06917,15.33354,20.88533,13.48294,2.90808,38.33384,18.77036,0.26437,9.51737,16.12665,6.60928,0.26437,25.64402,7.66677,0.52874,23.00031,11.1036,1.58623,12.42545,2.90808,0,6.87365,1.8506,13.74731,21.14971,6.34491,4.75868,47.32247,1.58623,2.37934,91.47248,80.10451,8.72425,2.37934,14.27605,3.43683,3.43683,1.05749,7.66677,3.7012,0,0.26437,0.79311,18.77036,4.75868,21.94282,10.04611,5.81617,7.13803,1.58623,2.11497,72.70212,6.08054,10.83922,4.75868,11.63234,0,19.82785,8.98863,3.96557,13.21857,79.3114,25.11528,8.45988,2.11497,2.11497,8.45988,6.34491,1.58623,1.32186,13.48294,3.7012,3.43683,12.16108,0.79311,0.26437,24.32216,7.66677,2.64371,1.32186,16.39102,5.5518,0,0,18.24162,27.75899,2.11497,7.66677,15.06917,0.26437,10.04611,5.81617,10.83922,3.96557,29.34522,1.58623
KAKRNA24_L3Tip_CI28A_TGGCGA,L3Tip,L3Tip,CI28A,CI28A,282set_CI28AGoodman-Buckler,CI28A,CI28A:8042MABXX:2:C4,CIze28,1.45608,207.24897,2.91216,2.91216,10.67793,66.97976,15.53154,155.31539,40.28493,5.82433,44.16781,15.53154,59.69935,5.33897,0.48536,12.61938,0,17.47298,7.76577,4.85361,9.70721,0,49.99214,3.39752,1.45608,3.88288,1.45608,25.72411,0,20.38514,5.33897,9.22185,21.35587,14.56082,1.94144,1.45608,61.6408,421.77836,1.45608,1.45608,2.4268,16.98762,16.98762,8.73649,5.33897,4.85361,11.64865,12.13401,0,1.94144,20.87051,5.33897,0.48536,24.26803,2.91216,0,16.0169,10.19257,10.19257,52.41894,10.67793,0,15.04618,4.36825,12.61938,22.32659,154.83003,1.45608,64.0676,1.45608,8.25113,54.36039,350.91571,26.20947,0.48536,24.26803,8.25113,3.39752,22.32659,10.67793,567.8719,9.22185,0,0,15.53154,12.61938,15.53154,71.83337,27.18019,15.53154,8.25113,2.4268,11.64865,26.20947,18.4437,6.30969,18.4437,0,0.48536,77.17233,0,16.0169,110.17685,15.53154,11.16329,0.97072,0,7.76577,0,0,0.48536,5.33897,0,12.61938,9.70721,0.48536,0.48536,5.82433,36.40204,0,0,52.41894,4.36825,0.48536,0,11.16329,22.32659,0.48536,2.4268,20.87051,0.48536,61.6408,9.70721,0.97072,18.92906,38.82885,2.91216
KAKRNA17_Kern_CI28A_ACCGTG,Kern,Kern,CI28A,CI28A,282set_CI28AGoodman-Buckler,CI28A,CI28A:8042MABXX:2:C4,CIze28,0,30.95007,4.10182,0.74578,6.33917,30.57718,7.08496,0.74578,70.47666,21.25487,172.64918,13.79702,1.11868,3.72892,0,22.00065,4.47471,3.72892,1.11868,22.74644,337.09472,1.11868,3.72892,26.84825,5.59339,3.72892,0.74578,38.78081,0.74578,7.08496,2.98314,83.90079,1.86446,4.47471,4.47471,2.23735,196.88718,5.22049,2.98314,2.23735,4.8476,7.45785,21.62776,8.94942,16.78016,7.83074,23.49222,39.52659,0.74578,2.23735,57.42543,16.40727,0.74578,22.74644,3.35603,0.37289,42.13684,12.67834,3.72892,19.3904,1.11868,0,1.86446,3.72892,12.67834,23.11933,15.28859,5.59339,23.49222,1.86446,5.96628,202.10768,52.20493,4.47471,4.10182,23.11933,12.67834,5.59339,0.37289,8.57652,12.67834,0,1.49157,1.49157,40.27238,0.74578,8.94942,13.42413,16.40727,5.59339,7.45785,1.49157,154.37745,44.74709,14.9157,11.93256,1.86446,0,10.06809,7.08496,1.11868,19.01751,3.72892,14.5428,65.62906,0,4.10182,3.72892,4.47471,0.37289,3.72892,2.61025,0.74578,0.37289,23.11933,0,0,19.3904,3.35603,0,1.11868,0.37289,7.83074,0,0,10.81388,14.5428,2.98314,2.61025,32.81453,1.49157,4.8476,10.81388,1.11868,2.98314,18.27173,0.74578
10343927_LMAD26_CI31A_GTGTAG,LMAD26,LMAD,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,0,92.3023,4.9097,0.49097,12.76521,54.98861,19.63879,53.02473,37.3137,6.87358,40.25952,19.14782,20.12976,4.9097,0,3.92776,0.98194,10.80133,6.38261,15.22006,34.85885,0.98194,97.212,7.85552,7.36455,1.47291,0,15.22006,0,0.98194,6.38261,46.15115,25.03946,78.55515,1.96388,15.22006,129.12503,125.68824,9.81939,3.43679,3.43679,16.202,9.81939,25.03946,12.76521,0.49097,13.74715,25.53042,0,4.41873,13.74715,19.63879,0,18.16588,1.47291,0,13.74715,11.78327,5.89164,36.82273,9.32842,0,27.98527,6.38261,19.63879,5.89164,110.46818,11.2923,17.18394,1.47291,8.34649,89.84746,112.43206,15.71103,1.96388,20.62073,8.34649,1.96388,27.4943,7.36455,34.36788,6.87358,0.98194,0,65.29897,8.83745,35.34982,7.85552,0.49097,14.72909,0.49097,1.47291,16.69297,11.78327,6.87358,10.31036,48.606,0,0,59.8983,0,14.23812,77.57321,15.22006,21.1117,13.74715,3.43679,5.89164,2.45485,2.94582,0.49097,11.78327,0,15.71103,0,0,0.98194,2.94582,15.71103,0.98194,0,26.51236,4.41873,0.98194,0.98194,9.81939,30.93109,0.49097,13.25618,27.4943,0.98194,6.87358,10.80133,0,6.38261,30.44012,0.49097
10344827_LMAN26_CI31A_CACACT,LMAN26,LMAN,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,0,74.66005,1.72292,0.57431,8.04031,42.4988,20.10078,75.23436,30.43833,4.59446,48.81619,22.97232,11.48616,7.46601,0,6.8917,4.02016,10.91185,10.91185,14.93201,22.97232,2.29723,66.61974,15.50632,0.57431,0.57431,0,21.2494,2.29723,0,0.57431,24.12094,55.13358,65.47112,0.57431,42.4988,169.42089,13.78339,12.63478,8.04031,0.57431,14.3577,12.63478,20.10078,10.33755,0,17.22924,21.2494,0,7.46601,22.39802,13.78339,0.57431,21.2494,2.87154,0,10.33755,17.22924,1.72292,13.78339,10.33755,0,12.63478,5.74308,29.28971,16.65494,20.10078,13.20909,20.67509,0,6.8917,85.57191,63.7482,20.67509,1.14862,31.58695,6.31739,3.44585,29.86402,5.16877,17.22924,2.29723,1.72292,0,49.96481,5.74308,29.86402,4.02016,0,10.91185,0,2.29723,35.6071,16.65494,20.67509,24.12094,53.41065,0.57431,0.57431,32.16125,0,4.59446,84.9976,14.93201,18.95217,24.69525,2.29723,10.91185,2.29723,2.87154,1.72292,12.06047,0,46.51896,0.57431,1.14862,1.14862,8.04031,17.22924,0.57431,0,13.78339,1.72292,0.57431,0.57431,6.31739,32.73556,0,16.65494,20.67509,0,36.18141,14.93201,0,3.44585,37.33003,2.29723
KAKRNA5_GShoot_CI31A_AGAATC,GShoot,GShoot,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,23.64406,43.25788,4.83628,0.80605,26.86825,100.75593,4.29892,2.41814,43.52656,18.27041,146.70064,12.09071,39.49632,4.29892,0,13.97149,13.43412,8.86652,2.68682,20.95723,770.31268,1.88078,12.09071,22.03196,6.44838,0.53736,6.98574,19.34514,1.61209,6.1797,0.80605,63.94643,7.79179,3.76155,7.25443,3.49287,201.78054,2137.63783,3.76155,3.22419,7.25443,8.59784,19.34514,8.86652,23.64406,0,24.98747,39.22764,0.26868,6.44838,59.11015,4.83628,0.53736,13.43412,4.5676,0.26868,9.40389,10.7473,4.03024,6.44838,0.53736,1.07473,1.34341,5.64233,7.52311,13.97149,2.14946,15.85227,29.28639,2.95551,9.67257,150.46219,47.82548,11.82203,2.95551,9.94125,8.32916,2.95551,14.77754,12.62808,0.26868,0.80605,1.61209,1.61209,17.46436,1.61209,28.21166,30.6298,0,9.1352,0.26868,1.88078,79.53001,6.98574,10.7473,4.5676,16.927,0,22.83801,9.40389,8.32916,17.46436,107.20431,12.62808,21.4946,3.49287,3.22419,5.91101,5.37365,3.49287,2.68682,26.0622,0.53736,1.34341,0.26868,2.41814,0,17.46436,13.16544,0.53736,2.41814,9.40389,4.83628,1.34341,0.80605,17.19568,18.53909,0.80605,2.41814,23.37538,0.26868,0.80605,11.55335,19.61382,1.07473,30.09244,1.34341
KAKRNA6_10346261_GRoot_CI31A_AGAATC,GRoot,GRoot,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,4.19401,81.78313,2.796,5.59201,11.88302,24.46504,11.18402,3.49501,30.75605,26.56204,60.8131,61.5121,2.097,5.59201,0,14.67902,15.37802,0.699,5.59201,18.87303,2124.96335,0,6.29101,12.58202,3.49501,0.699,0,21.66903,0.699,0,0,60.11409,5.59201,0.699,5.59201,4.89301,234.86437,122.32519,2.097,2.097,5.59201,11.88302,17.47503,0.699,143.29523,0,44.73607,30.05705,0.699,0,120.22819,6.29101,0,5.59201,9.08701,0,27.26104,13.28102,6.29101,35.64906,2.796,0,14.67902,2.097,16.07703,7.68901,8.38801,11.18402,16.77603,3.49501,44.73607,104.15116,67.80311,12.58202,2.097,13.28102,2.796,1.398,10.48502,9.08701,2.097,1.398,1.398,0,32.85305,0,13.98002,56.61909,2.796,6.99001,0.699,3.49501,22.36804,9.08701,13.28102,10.48502,6.99001,0,21.66903,3.49501,0,11.88302,106.24817,23.06704,27.96004,0,0,13.98002,4.89301,2.097,2.796,28.65905,1.398,0,11.88302,6.99001,0,13.98002,3.49501,1.398,0,0,5.59201,0,0,6.29101,11.88302,0.699,5.59201,13.98002,0,12.58202,2.796,10.48502,5.59201,18.17403,0.699
KAKRNA27_10346929_L3Tip_CI31A_CAGATG,L3Tip,L3Tip,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,0,144.81418,0.87237,1.74475,0.87237,87.23746,14.83037,54.08722,34.89498,2.61712,29.66074,11.34087,65.42809,6.10662,0,6.10662,0,36.63973,8.72375,12.21324,20.06462,0,95.08883,4.36187,4.36187,0,0.87237,28.78836,0.87237,0.87237,9.59612,29.66074,10.4685,35.76736,0.87237,17.44749,86.36508,671.72843,8.72375,1.74475,6.10662,13.95799,15.70274,3.4895,4.36187,0,21.80936,13.08562,0,0,13.08562,7.85137,0,27.91599,4.36187,0,6.979,23.55411,9.59612,58.4491,20.06462,0,21.80936,0.87237,26.17124,10.4685,148.30368,12.21324,11.34087,0,6.979,63.68334,315.7996,15.70274,3.4895,47.10823,11.34087,0.87237,42.74635,13.08562,61.06622,3.4895,0.87237,1.74475,20.93699,0.87237,22.68174,36.63973,0,10.4685,0,1.74475,9.59612,20.93699,20.93699,15.70274,20.93699,0,0,54.9596,0,6.979,80.25846,25.29886,7.85137,3.4895,0,16.57512,0,0.87237,0,13.08562,0,17.44749,0,0,0,2.61712,20.93699,0.87237,0,68.91759,1.74475,1.74475,0,3.4895,35.76736,0,8.72375,21.80936,0.87237,63.68334,9.59612,0.87237,4.36187,34.89498,1.74475
KAKRNA26_L3Base_CI31A_CAGATG,L3Base,L3Base,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,4.91993,63.20217,17.03053,0.37846,9.83986,110.88765,6.0553,16.65207,40.49481,38.22407,108.23845,10.21832,52.98386,6.43375,0,19.30126,17.40898,12.86751,4.54147,21.19354,341.74589,0,11.35368,15.5167,2.64919,1.51382,53.74077,15.13825,0.37846,6.81221,1.13537,50.71312,6.0553,4.91993,10.59677,1.13537,168.79144,1609.9524,1.13537,6.43375,9.83986,10.21832,8.32603,10.97523,50.33467,0,56.38996,31.79032,0,7.56912,97.26323,11.35368,0,9.83986,4.91993,0.37846,12.1106,8.70449,1.51382,8.32603,2.27074,0.75691,4.54147,0.37846,19.30126,12.48905,4.91993,17.78744,33.30414,0,2.64919,114.29375,43.52246,3.40611,0,10.59677,2.64919,3.78456,21.572,5.67684,1.51382,1.89228,9.08295,0,19.67972,1.51382,19.30126,13.24596,0,7.94758,0.37846,1.13537,61.68835,5.29839,9.83986,15.89516,23.08582,0,33.30414,10.21832,3.40611,12.86751,104.45389,19.67972,14.75979,3.02765,3.40611,8.70449,6.0553,3.02765,1.13537,18.92281,3.02765,2.27074,0,1.89228,0,52.22695,14.75979,1.13537,0.75691,23.84274,5.29839,0.75691,0.37846,16.65207,32.92568,0.37846,3.40611,21.95046,1.51382,4.91993,3.78456,19.30126,0.37846,17.78744,0
KAKRNA18_Kern_CI31A_GTGCCA,Kern,Kern,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,0,72.257,7.05959,0.41527,7.47486,23.6704,4.98324,0.83054,68.93484,15.78026,178.15088,14.53445,0.83054,5.39851,0,19.93297,14.53445,9.55121,4.1527,31.14526,310.62206,0.41527,3.73743,19.10243,4.56797,1.24581,0,23.25513,0.41527,9.13594,4.1527,97.58848,4.1527,8.3054,4.1527,5.39851,262.03545,22.00932,1.66108,1.66108,4.98324,2.49162,21.17878,2.49162,7.89013,0,29.06891,44.84917,0.83054,2.90689,51.07823,12.04283,0.83054,24.91621,3.32216,0,24.50094,9.55121,5.81378,28.65364,1.24581,0.41527,0,6.64432,29.89945,28.23837,10.38175,15.36499,37.78958,0,7.05959,181.47305,31.9758,9.96648,5.39851,22.42459,7.47486,6.22905,14.94972,11.21229,4.56797,0,3.32216,0.83054,44.4339,0,23.25513,24.91621,0,7.47486,9.96648,0.83054,71.01119,40.69647,13.28864,14.11918,4.98324,0,9.96648,11.62756,0.83054,14.94972,9.13594,4.1527,66.85849,2.49162,2.90689,7.05959,1.24581,1.24581,3.32216,12.87337,0.41527,0,0,0,0.41527,9.55121,9.13594,0,1.24581,0,5.81378,0,3.32216,2.07635,20.34824,0,3.32216,34.05215,2.07635,3.73743,10.79702,0,0.83054,15.36499,0
KAKRNA16_Kern_CI31A_GAACCT,Kern,Kern,CI31A,CI31A,282set_CI31A,CI31A,CI31A:8042MABXX:4:A12,Ames21512,0,62.76098,5.17616,1.94106,9.70531,23.93976,10.35233,1.29404,71.17225,20.70465,221.28098,11.64637,0,3.88212,0,23.93976,23.93976,7.11722,3.2351,30.40996,256.22009,0.64702,5.17616,20.05763,7.11722,3.88212,0,25.2338,1.29404,10.35233,3.88212,101.58221,5.17616,10.99935,1.94106,5.17616,207.04653,23.93976,0,2.58808,5.82318,2.58808,32.35102,3.2351,11.64637,0,25.88082,40.11527,1.29404,2.58808,37.52718,17.46955,0,23.93976,2.58808,0,25.2338,18.11657,5.17616,20.05763,2.58808,0.64702,0.64702,7.11722,25.2338,33.64506,12.94041,15.52849,21.35167,0,3.2351,203.16441,34.29208,7.11722,1.29404,29.76294,9.05829,5.17616,9.70531,10.99935,10.35233,0,3.88212,0.64702,39.46825,0.64702,32.35102,29.11592,0.64702,9.05829,6.4702,1.29404,76.99543,36.23314,18.76359,10.99935,4.52914,0.64702,10.35233,8.41127,0,14.88147,7.11722,12.29339,72.46629,0.64702,5.17616,4.52914,5.82318,1.29404,4.52914,10.35233,0.64702,1.29404,0,0,0,10.99935,10.35233,0,0,0,4.52914,0,3.2351,1.29404,11.64637,0,3.88212,36.23314,0.64702,3.88212,8.41127,0.64702,1.29404,18.76359,0
10343262_LMAN8_CI3A_TTAACT,LMAN8,LMAN,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,0,68.07991,1.30296,2.60593,1.62871,39.74043,15.96132,19.87021,47.23247,20.84744,70.68584,23.45337,9.12075,5.86334,0,3.25741,3.58315,1.30296,13.02965,7.81779,40.71765,1.62871,82.41252,17.59002,1.95445,2.93167,0,16.93854,9.77224,7.16631,2.60593,39.41469,27.03652,9.44649,0.32574,50.16415,123.45592,7.81779,19.87021,3.25741,4.23464,7.49205,19.54447,7.81779,6.18908,0,21.82466,37.78598,0.32574,8.79501,33.55134,12.37817,0.97722,6.51482,0.32574,0,8.79501,11.72668,8.14353,8.14353,0,0.97722,13.35539,16.93854,1.30296,16.28706,15.96132,2.28019,46.58099,1.62871,8.79501,185.67248,56.67897,11.72668,1.95445,31.5969,6.18908,5.5376,17.59002,14.33261,101.63125,0,0,1.62871,21.17318,7.16631,24.10485,3.25741,113.0322,7.16631,0,2.60593,8.79501,31.92264,7.16631,6.51482,28.01374,0.32574,1.30296,23.12763,0,14.00687,173.9458,21.49892,20.19595,6.18908,3.25741,11.72668,6.18908,4.56038,0.65148,10.74946,0,54.07304,0,0,1.30296,0.97722,12.37817,0,1.30296,5.21186,3.90889,0.65148,3.25741,12.70391,22.1504,0,7.81779,29.64245,3.90889,69.38288,14.33261,0,14.9841,21.82466,3.25741
KAKRNA14_GShoot_CI3A_CTCTCG,GShoot,GShoot,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,19.75027,60.10951,5.15224,0.42935,30.91346,94.45781,4.29354,1.71741,52.38115,30.05476,164.44246,13.30996,30.91346,6.44031,0,7.72837,12.45126,19.75027,4.29354,15.45673,850.12027,1.71741,7.72837,20.17962,4.72289,3.43483,4.29354,24.90251,3.86418,5.15224,2.14677,72.56077,4.29354,0.85871,6.86966,3.86418,148.55637,264.05251,2.57612,3.00548,6.86966,8.58707,20.60898,6.44031,9.87513,0,10.30449,43.79407,9.87513,7.72837,9.87513,9.87513,1.71741,10.73384,5.15224,0.85871,9.01643,11.59255,2.14677,4.72289,0,0.85871,1.28806,7.72837,0,15.02738,3.86418,3.86418,48.51696,2.14677,4.29354,439.2288,39.07118,9.87513,2.14677,11.59255,8.58707,3.86418,9.01643,8.58707,2.14677,0.42935,1.28806,0,27.04928,3.00548,30.91346,15.45673,12.88061,6.44031,0,0.42935,78.57172,3.86418,6.86966,6.44031,7.29901,0,22.32639,13.73932,12.88061,13.30996,213.38877,14.16867,39.92989,1.28806,3.86418,4.72289,6.86966,3.00548,4.72289,36.92442,1.71741,3.00548,0,1.28806,0.42935,29.6254,15.45673,1.71741,0,5.15224,3.86418,1.28806,3.43483,22.75574,12.45126,0,4.29354,30.05476,0.42935,1.71741,11.59255,21.03833,3.00548,35.63635,1.28806
KAKRNA2_10346259_GRoot_CI3A_TCAGGA,GRoot,GRoot,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,6.78232,59.86135,2.65395,3.83349,5.01302,19.75719,8.25674,2.65395,38.62974,33.9116,86.69575,23.2958,3.5386,13.56464,0,1.47442,16.21859,0.29488,7.96185,14.15441,852.5082,0.58977,1.7693,12.09022,2.65395,2.35907,0,15.92371,0.88465,1.47442,5.60279,89.3497,0.88465,0,7.66697,5.01302,134.17199,5.3079,2.65395,2.06418,7.96185,15.03906,16.21859,0.29488,36.27067,0,47.47624,32.43718,2.65395,0.29488,20.34696,6.19255,0.29488,6.19255,5.01302,0,25.0651,7.66697,4.71814,33.32184,0,0.58977,5.3079,2.65395,0.29488,7.96185,5.01302,5.01302,33.32184,1.7693,19.75719,353.27043,60.15623,7.37209,1.7693,5.3079,2.35907,1.7693,4.42325,2.94883,1.7693,1.47442,1.17953,0.58977,41.87346,0.29488,16.21859,5.01302,18.87254,5.89767,0.29488,2.35907,28.30882,8.8465,3.83349,8.8465,5.89767,0,17.98789,12.09022,0,11.50046,142.42873,27.12928,43.34787,0,1.7693,10.61581,0.58977,2.06418,3.24372,30.66788,0.88465,1.7693,0.58977,10.02604,1.47442,22.11626,6.48744,0.58977,0.29488,0,5.60279,0.29488,1.47442,2.06418,9.43627,0,1.47442,33.32184,0.88465,0.58977,4.12837,3.24372,6.48744,30.66788,0.58977
KAKRNA27_10346929_L3Tip_CI3A_GGAGGT,L3Tip,L3Tip,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,1.41497,96.21762,4.2449,0,2.82993,58.01357,11.31972,74.99315,41.03399,4.2449,45.27888,1.41497,53.76867,5.65986,0,5.65986,1.41497,29.71427,14.14965,8.48979,14.14965,1.41497,63.67343,5.65986,4.2449,0,1.41497,26.88434,0,8.48979,21.22448,25.46937,15.56462,4.2449,0,77.82308,70.74825,65.08839,26.88434,4.2449,2.82993,12.73469,18.39455,8.48979,2.82993,0,15.56462,19.80951,0,0,11.31972,8.48979,0,9.90476,2.82993,0,4.2449,22.63944,7.07483,100.46252,0,1.41497,31.12923,2.82993,0,19.80951,191.02028,1.41497,73.57818,2.82993,0,117.4421,93.38769,12.73469,0,28.2993,8.48979,4.2449,29.71427,12.73469,161.30602,0,0,0,12.73469,7.07483,8.48979,12.73469,2.82993,9.90476,0,0,8.48979,26.88434,9.90476,9.90476,31.12923,0,0,65.08839,0,9.90476,212.24476,8.48979,103.29245,1.41497,0,8.48979,2.82993,1.41497,0,15.56462,0,79.23804,0,0,0,4.2449,12.73469,0,0,66.50336,1.41497,7.07483,1.41497,5.65986,19.80951,0,22.63944,24.05441,2.82993,93.38769,11.31972,0,58.01357,18.39455,2.82993
KAKRNA26_L3Base_CI3A_GGAGGT,L3Base,L3Base,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,11.7471,80.21589,18.12409,2.68505,8.72641,99.34687,7.04826,12.41836,42.96081,39.94013,131.56748,11.7471,40.61139,6.04136,0,12.75399,14.43215,20.47351,10.06894,20.80914,393.35992,1.00689,8.05515,12.75399,4.36321,2.68505,26.17924,10.06894,1.67816,9.06205,1.67816,47.99528,2.68505,4.69884,14.76778,2.34942,108.07329,393.35992,1.34253,3.69194,7.38389,8.39078,11.07583,7.38389,21.14477,0,34.57003,20.47351,0.33563,6.71263,20.13788,11.41147,1.67816,7.38389,6.71263,0.33563,13.08962,12.08273,1.67816,11.07583,0,1.00689,3.02068,2.34942,0.67126,17.78846,4.02758,8.72641,62.0918,2.68505,3.02068,213.1259,47.32402,7.38389,1.00689,17.45283,2.34942,3.35631,15.43904,8.39078,0.33563,0.33563,0.67126,1.67816,23.49419,4.69884,14.43215,6.04136,1.67816,4.02758,0.33563,3.69194,81.55841,12.41836,5.3701,9.39768,17.78846,0,23.15856,24.50109,2.68505,13.42525,111.76523,19.46662,31.88498,0,2.01379,7.04826,6.377,3.35631,2.68505,35.24129,4.36321,5.03447,0,0.67126,0,24.16546,16.44594,2.68505,2.34942,18.12409,4.36321,0,1.67816,17.45283,13.76088,1.34253,7.04826,23.15856,0.67126,1.67816,3.69194,22.4873,4.69884,26.51488,0.67126
KAKRNA17_Kern_CI3A_GTGTAG,Kern,Kern,CI3A,CI3A,282set_CI3A,CI3A,CI3A:8042MABXX:2:H4,Ames26116,0,42.43248,3.90483,0.26032,0.78097,16.6606,5.72708,0.78097,49.46117,29.41638,205.91466,9.37159,1.82225,12.23513,0,24.47026,8.06998,5.72708,1.30161,24.99091,645.07777,1.04129,5.20644,20.82576,4.42547,5.46676,0,29.6767,2.3429,8.59062,3.38419,115.0623,0.78097,1.82225,5.20644,7.28901,199.40661,2.08258,2.08258,1.56193,5.46676,3.12386,16.6606,1.04129,8.06998,1.04129,33.06089,39.04829,1.30161,1.30161,16.13996,14.57803,2.08258,7.54934,3.12386,0.26032,27.85445,10.93352,2.3429,23.42897,0,1.04129,0.26032,5.20644,0.52064,26.29252,9.89223,3.12386,34.10217,1.30161,5.20644,479.51302,38.52765,5.9874,2.08258,17.96221,8.06998,4.16515,5.20644,9.63191,8.06998,0,5.9874,0.52064,43.47376,3.12386,20.56543,16.92093,16.92093,11.19384,0,2.08258,159.31703,28.89574,13.27642,11.97481,7.28901,0.26032,5.20644,4.94612,0.52064,21.08608,9.37159,15.09867,81.48077,1.04129,3.90483,6.50805,2.86354,0.52064,7.54934,12.75578,0.52064,0.52064,0,0,0.26032,32.54024,6.76837,0,0.52064,0.26032,9.37159,0,4.68579,8.3303,9.11127,0,7.54934,58.57244,0.26032,9.37159,9.11127,0,23.42897,18.22254,0.26032
