id,e2m,m2y,e2m2y,padj,coef,file,method,tissue,trait
GRMZM2G083841,1.90919914556065e-29,0.318671496192984,0.318671496192984,1,0.139539716596761,res.eq_mediator_P368.cobweight_ts_P368.Kern.csv,res.eq,Kern,cobweight
GRMZM2G012926,6.70734678052845e-37,0.331630913329885,0.331630913329885,1,-0.139425451105163,res.eq_mediator_P368.cobweight_ts_P368.Kern.csv,res.eq,Kern,cobweight
GRMZM2G019363,1.43640329300279e-27,0.00203563409586782,0.00203563409586782,0.0162850727669426,0.485141410901351,res.eq_mediator_P368.cobweight_ts_P368.Kern.csv,res.eq,Kern,cobweight
AC205376.4_FG003,8.5574322264844e-29,0.233847006947187,0.233847006947187,1,0.0138758765370833,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM5G884722,1.64745796448698e-35,0.549099198855177,0.549099198855177,1,0.00726374676461546,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G039263,7.64958583052976e-35,0.206197861354476,0.206197861354476,1,0.0155809526167154,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G082484,1.64564931584132e-31,0.453862392205503,0.453862392205503,1,0.0100051454829879,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G136495,3.18134208909204e-31,0.178101347653663,0.178101347653663,1,-0.0162352073245086,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G059252,1.80779932156784e-34,0.000913889934653689,0.000913889934653689,0.011880569150498,-0.0400485131173861,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G346138,8.81728845135007e-35,0.260611391218463,0.260611391218463,1,0.0137644432714573,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G094388,4.00768142456105e-27,0.959070613832961,0.959070613832961,1,0.000768060873815242,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
AC217050.4_FG006,7.58858607039718e-28,0.284017851068054,0.284017851068054,1,0.0164250980572602,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G152793,5.17049240734179e-25,0.0713994699162537,0.0713994699162537,0.78539416907879,0.0212718391789442,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM5G881253,1.18131370368629e-40,0.0210407981507892,0.0210407981507892,0.25248957780947,-0.027216614349703,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G032253,5.63201919081897e-30,0.000103379203506115,0.000103379203506115,0.00144730884908562,0.0471915565871205,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G116689,2.28393271288965e-31,0.570773421710307,0.570773421710307,1,0.00835479685458502,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G446960,1.77709917490487e-30,0.178894959511124,0.178894959511124,1,0.0185486351932471,res.eq_mediator_P368.Eardiameter_ts_P368.Kern.csv,res.eq,Kern,Eardiameter
GRMZM2G024563,2.80565170249006e-20,0.307326361349198,0.307326361349198,0.921979084047594,0.527952080526575,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G148180,2.2340229222446e-31,0.0331862454263603,0.0331862454263603,0.165931227131801,1.1287496916717,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G046952,2.5319879476997e-39,0.408115400968918,0.408115400968918,0.921979084047594,0.4427982424588,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G105827,6.17815957520446e-38,0.831729644266687,0.831729644266687,0.921979084047594,0.112698759407933,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G062165,3.74950537572611e-26,0.00226060044830145,0.00226060044830145,0.0158242031381102,1.5538834564369,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G403813,1.17996947234071e-32,0.0135735994210651,0.0135735994210651,0.0814415965263904,1.24866826295634,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
GRMZM2G095725,5.56320732277665e-30,0.14779280290155,0.14779280290155,0.5911712116062,0.75966269410585,res.eq_mediator_P368.Earheight_ts_P368.Kern.csv,res.eq,Kern,Earheight
AC205376.4_FG003,8.5574322264844e-29,0.0244839861290946,0.0244839861290946,0.146903916774568,0.511002056799665,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
AC213463.3_FG007,4.27462200922604e-33,0.179769700292037,0.179769700292037,0.539309100876111,0.327532343129662,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G075145,9.55396400842692e-48,0.0322291331165923,0.0322291331165923,0.161145665582961,0.478365255740984,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G070259,3.3863058536276e-42,0.214556536917335,0.214556536917335,0.539309100876111,0.286696355170217,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
GRMZM2G148194,2.14480063111429e-28,3.2664182247899e-08,3.2664182247899e-08,2.61313457983192e-07,-1.28618182333608,res.eq_mediator_P368.Earleaflength_ts_P368.Kern.csv,res.eq,Kern,Earleaflength
