OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA24_L3Tip_CML158Q_AATCCG,L3Tip,L3Tip,CML158Q,CML158Q,282set_CML158Q,CML158Q,CML158Q,Ames27085,4.42432,95.56532,0,2.65459
10343264_LMAD26_CML218_CGCGGA,LMAD26,LMAD,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,0,51.72055,0,24.24401
10344827_LMAN26_CML218_TCAGGA,LMAN26,LMAN,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,0,15.97529,0.27077,30.05521
KAKRNA3_GShoot_CML218_CAGATG,GShoot,GShoot,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,33.73327,4.76234,4.76234,2.77803
KAKRNA4_10346258_GRoot_CML218_CAGATG,GRoot,GRoot,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,65.98286,0.70195,5.96653,1.40389
KAKRNA23_10346932_L3Base_CML218_GTGCCA,L3Base,L3Base,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,1.79554,4.1896,1.79554,7.78069
KAKRNA24_L3Tip_CML218_GTGCCA,L3Tip,L3Tip,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,0.47789,94.6213,0,1.43366
KAKRNA18_Kern_CML218_GCGAAT,Kern,Kern,CML218,CML218,282set_CML218,CML218,CML218:8042MABXX:4:D2,Ames27086,0,1.48445,0,46.38905
10343264_LMAD26_CML220_GTTACC,LMAD26,LMAD,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,0,50.51586,0,24.08314
10344827_LMAN26_CML220_GGTATA,LMAN26,LMAN,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,0,40.89648,0.288,35.71242
KAKRNA14_GShoot_CML220_GTGTAG,GShoot,GShoot,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,68.08782,4.58623,4.23344,7.40852
KAKRNA2_10346259_GRoot_CML220_TTAACT,GRoot,GRoot,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,15.81955,0,2.25994,2.90563
KAKRNA20_10346930_L3Base_CML220_AACCGA,L3Base,L3Base,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,0.38724,27.10714,0.77449,2.32347
KAKRNA21_10346931_L3Tip_CML220_AACCGA,L3Tip,L3Tip,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,0,156.39762,0,7.87614
KAKRNA17_Kern_CML220_TGACAC,Kern,Kern,CML220,CML220,282set_CML220,CML220,CML220:8042MABXX:2:A9,Ames27087,0.72974,0,0.24325,30.16268
10343264_LMAD26_CML228_CCGCAA,LMAD26,LMAD,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,0.64016,63.37562,0,26.24647
KAKRNA14_LMAN26_CML228_ACATTA,LMAN26,LMAN,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,6.78774,43.7432,0.75419,27.90514
KAKRNA3_GShoot_CML228_GGTATA,GShoot,GShoot,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,178.04941,8.69319,2.89773,5.47349
KAKRNA4_10346258_GRoot_CML228_GGTATA,GRoot,GRoot,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,32.1724,0,1.91123,2.54831
KAKRNA28_L3Base_CML228_AAGACA,L3Base,L3Base,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,2.79398,12.29351,0.5588,6.70555
KAKRNA28_L3Mid_CML228_ACATTA,L3Mid,L3Mid,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,11.70225,73.90897,0,5.54317
KAKRNA28_L3Tip_CML228_AATAGC,L3Tip,L3Tip,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,6.3376,88.72647,0,6.3376
KAKRNA18_Kern_CML228_GATTGT,Kern,Kern,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,0.39568,0.39568,0.39568,35.61144
KAKRNA16_Kern_CML228_ACATTA,Kern,Kern,CML228,CML228,282set_CML228,CML228,CML228,Ames27088,1.26473,0,0.50589,34.14776
10343264_LMAD26_CML238_CCAATT,LMAD26,LMAD,CML238,CML238,282set_CML238,CML238,CML238:8042MABXX:2:H9,Ames27089,0,88.94614,0.60922,26.19647
10344823_GShoot_CML238_TGGCGA,GShoot,GShoot,CML238,CML238,282set_CML238,CML238,CML238:8042MABXX:2:H9,Ames27089,398.94064,23.23221,5.44505,5.80805
10344827_LMAN26_CML238_TAGGCT,LMAN26,LMAN,CML238,CML238,282set_CML238,CML238,CML238:8042MABXX:2:H9,Ames27089,0.31495,33.70014,0.62991,27.0861
KAKRNA23_10346932_L3Base_CML238_TGCACG,L3Base,L3Base,CML238,CML238,282set_CML238,CML238,CML238:8042MABXX:2:H9,Ames27089,23.39237,36.10562,2.54265,1.52559
KAKRNA24_L3Tip_CML238_TGCACG,L3Tip,L3Tip,CML238,CML238,282set_CML238,CML238,CML238:8042MABXX:2:H9,Ames27089,0,198.7898,0,0
KAKRNA5_GShoot_CML247_GGCCAA,GShoot,GShoot,CML247,CML247,282set_CML247,CML247,CML247:8042MABXX:4:F11,PI595541,18.71445,1.7237,3.20116,3.4474
KAKRNA6_10346261_GRoot_CML247_GGCCAA,GRoot,GRoot,CML247,CML247,282set_CML247,CML247,CML247:8042MABXX:4:F11,PI595541,16.58354,0,3.68523,3.68523
KAKRNA20_10346930_L3Base_CML247_ACACGC,L3Base,L3Base,CML247,CML247,282set_CML247,CML247,CML247:8042MABXX:4:F11,PI595541,0.94798,12.08678,0.47399,0.71099
KAKRNA21_10346931_L3Tip_CML247_ACACGC,L3Tip,L3Tip,CML247,CML247,282set_CML247,CML247,CML247:8042MABXX:4:F11,PI595541,0,102.61463,0,0.71758
KAKRNA5_GShoot_CML254_AGGCAT,GShoot,GShoot,CML254,CML254,282set_CML254,CML254,CML254:8042MABXX:3:H11,PI595542,7.65812,2.39316,7.17949,3.82906
KAKRNA6_10346261_GRoot_CML254_AGGCAT,GRoot,GRoot,CML254,CML254,282set_CML254,CML254,CML254:8042MABXX:3:H11,PI595542,41.723,0,2.03527,3.0529
KAKRNA27_10346929_L3Tip_CML254_GTCAGG,L3Tip,L3Tip,CML254,CML254,282set_CML254,CML254,CML254:8042MABXX:3:H11,PI595542,0.92033,21.16749,0,5.52195
KAKRNA26_L3Base_CML254_GTCAGG,L3Base,L3Base,CML254,CML254,282set_CML254,CML254,CML254:8042MABXX:3:H11,PI595542,10.51288,2.10258,4.20515,0.35043
KAKRNA14_GShoot_CML258_GTGCCA,GShoot,GShoot,CML258,CML258,282set_CML258,CML258,CML258,Ames27090,98.40374,6.31951,3.15975,10.38205
KAKRNA2_10346259_GRoot_CML258_CCTAAG,GRoot,GRoot,CML258,CML258,282set_CML258,CML258,CML258,Ames27090,18.94641,0,2.27357,2.02095
KAKRNA23_10346932_L3Base_CML258_AACAAG,L3Base,L3Base,CML258,CML258,282set_CML258,CML258,CML258,Ames27090,6.93093,38.61516,0,0.99013
KAKRNA24_L3Tip_CML258_AACAAG,L3Tip,L3Tip,CML258,CML258,282set_CML258,CML258,CML258,Ames27090,4.46083,86.24268,0,1.48694
10343264_LMAD26_CML261_TATGTC,LMAD26,LMAD,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,0,97.48367,0,26.97177
KAKRNA14_LMAN26_CML261_GAACCT,LMAN26,LMAN,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,3.36995,30.32951,0,26.95956
KAKRNA5_GShoot_CML261_CGCAAC,GShoot,GShoot,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,19.0651,0,0,0
KAKRNA6_10346261_GRoot_CML261_CGCAAC,GRoot,GRoot,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,6.4517,0,4.30114,1.07528
KAKRNA23_10346932_L3Base_CML261_AGACCA,L3Base,L3Base,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,0,16.69688,2.82998,0.566
KAKRNA24_L3Tip_CML261_AGACCA,L3Tip,L3Tip,CML261,CML261,282set_CML261,CML261,CML261,Ames27091,0,204.26177,1.0112,1.0112
KAKRNA14_GShoot_CML264_ATACTG,GShoot,GShoot,CML264,CML264,282set_CML264,CML264,CML264,PI595544,246.34875,13.77105,1.14759,8.03311
KAKRNA2_10346259_GRoot_CML264_GCTCGA,GRoot,GRoot,CML264,CML264,282set_CML264,CML264,CML264,PI595544,0.9393,0,1.87859,1.87859
10343264_LMAD26_CML277_AATAGC,LMAD26,LMAD,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,0,114.64946,0,30.25472
10344827_LMAN26_CML277_GCATGG,LMAN26,LMAN,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,0,25.88579,0.3406,25.54518
KAKRNA3_GShoot_CML277_AGTACT,GShoot,GShoot,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,3.7246,1.48984,6.95258,4.46952
KAKRNA4_10346258_GRoot_CML277_AGTACT,GRoot,GRoot,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,0,0,4.63103,2.52602
KAKRNA28_L3Base_CML277_CAGATG,L3Base,L3Base,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,0,12.06266,2.01044,8.44386
KAKRNA28_L3Mid_CML277_GAACCT,L3Mid,L3Mid,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,0,128.6714,0,6.95521
KAKRNA28_L3Tip_CML277_CCTAAG,L3Tip,L3Tip,CML277,CML277,282set_CML277,CML277,CML277:8042MABXX:2:F6,PI595550,1.23865,98.47251,0,2.4773
10344823_GShoot_CML281_GATCAC,GShoot,GShoot,CML281,CML281,282set_CML281,CML281,CML281,Ames27092,247.94542,3.85407,3.85407,5.99523
KAKRNA27_10346929_L3Tip_CML281_AGACCA,L3Tip,L3Tip,CML281,CML281,282set_CML281,CML281,CML281,Ames27092,2.06613,82.6451,0,2.75484
KAKRNA26_L3Base_CML281_AGACCA,L3Base,L3Base,CML281,CML281,282set_CML281,CML281,CML281,Ames27092,0.75242,5.26696,1.75565,1.50485
10344823_GShoot_CML287_CACTAA,GShoot,GShoot,CML287,CML287,282set_CML287,CML287,CML287:8042MABXX:2:E3,PI595565,42.42317,10.7277,3.41336,3.41336
10344823_GShoot_CML311_TAATCG,GShoot,GShoot,CML311,CML311,282set_CML311,CML311,CML311:8042MABXX:2:F12,Ames27093,36.34286,21.37815,1.28269,19.24034
KAKRNA28_L3Base_CML311_TACCTT,L3Base,L3Base,CML311,CML311,282set_CML311,CML311,CML311:8042MABXX:2:F12,Ames27093,0.84735,21.60755,0.42368,21.60755
KAKRNA28_L3Mid_CML311_AAGTGG,L3Mid,L3Mid,CML311,CML311,282set_CML311,CML311,CML311:8042MABXX:2:F12,Ames27093,0.48863,125.08859,0,15.63607
KAKRNA28_L3Tip_CML311_GGCCAA,L3Tip,L3Tip,CML311,CML311,282set_CML311,CML311,CML311:8042MABXX:2:F12,Ames27093,2.54062,97.0517,0,19.30872
10343264_LMAD26_CML314_TACCTT,LMAD26,LMAD,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,0.64995,123.81489,0.64995,26.64782
10344827_LMAN26_CML314_GACATC,LMAN26,LMAN,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,0,35.15349,0.26835,28.17646
KAKRNA5_GShoot_CML314_CTCATA,GShoot,GShoot,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,18.97036,11.24671,4.47159,5.4201
KAKRNA6_10346261_GRoot_CML314_CTCATA,GRoot,GRoot,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,24.10991,0,0.68885,0
KAKRNA27_10346929_L3Tip_CML314_CTCTCG,L3Tip,L3Tip,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,2.80177,126.07985,0,2.80177
KAKRNA26_L3Base_CML314_CTCTCG,L3Base,L3Base,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,0.81105,16.22108,1.62211,2.43316
KAKRNA18_Kern_CML314_GGTGAG,Kern,Kern,CML314,CML314,282set_CML314,CML314,CML314:8042MABXX:3:G1,Ames27094,3.5567,0,0.5081,35.73636
KAKRNA3_GShoot_CML321_CAGCGT,GShoot,GShoot,CML321,CML321,282set_CML321,CML321,CML321,Ames27095,0.53867,4.04001,4.57868,3.23201
KAKRNA4_10346258_GRoot_CML321_CAGCGT,GRoot,GRoot,CML321,CML321,282set_CML321,CML321,CML321,Ames27095,0.34342,0,4.8079,0.34342
KAKRNA28_L3Base_CML321_GGAGGT,L3Base,L3Base,CML321,CML321,282set_CML321,CML321,CML321,Ames27095,1.21645,20.9837,1.21645,10.64391
KAKRNA28_L3Mid_CML321_TTGGTA,L3Mid,L3Mid,CML321,CML321,282set_CML321,CML321,CML321,Ames27095,0.7598,126.12727,0,6.83823
KAKRNA28_L3Tip_CML321_CTCATA,L3Tip,L3Tip,CML321,CML321,282set_CML321,CML321,CML321,Ames27095,0.40944,76.56463,0,3.68493
10343264_LMAD26_CML322_GAAGTG,LMAD26,LMAD,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,0,58.70978,0,26.54004
10344823_GShoot_CML322_GTTACC,GShoot,GShoot,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,28.28122,2.35677,7.6595,16.49738
10344827_LMAN26_CML322_TTCGAG,LMAN26,LMAN,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,0,17.56149,0,26.14711
KAKRNA20_10346930_L3Base_CML322_TCGAGG,L3Base,L3Base,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,1.80565,5.41696,1.80565,5.41696
KAKRNA21_10346931_L3Tip_CML322_TCGAGG,L3Tip,L3Tip,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,0.45357,96.60943,0,6.80348
KAKRNA17_Kern_CML322_TAGGCT,Kern,Kern,CML322,CML322,282set_CML322,CML322,CML322:8042MABXX:4:D7,Ames27096,0,0,0.89895,12.5853
10343264_LMAD26_CML323_GCAGCC,LMAD26,LMAD,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,0,51.45411,0,41.27048
10344823_LMid_CML323_CATCTA,L3Mid,L3Mid,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,1.34763,71.42434,0.67381,2.69526
10344825_L3Base_CML323_CATCTA,L3Base,L3Base,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,0.69487,1.15812,2.7795,3.93762
10344827_LMAN26_CML323_GTGCCA,LMAN26,LMAN,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,0.62335,28.05054,0,33.34897
KAKRNA14_GShoot_CML323_AATAGC,GShoot,GShoot,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,1.50407,0,3.5095,7.019
KAKRNA2_10346259_GRoot_CML323_GCATGG,GRoot,GRoot,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,2.14541,0,0.91946,5.21029
KAKRNA23_10346932_L3Base_CML323_AGTACT,L3Base,L3Base,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,3.14025,4.03747,1.34582,2.24304
KAKRNA24_L3Tip_CML323_AGTACT,L3Tip,L3Tip,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,0,38.91969,0,3.35515
KAKRNA17_Kern_CML323_ACATTA,Kern,Kern,CML323,CML323,282set_CML323,CML323,CML323:8042MABXX:2:H6,Ames27097,0,0.26783,0,40.97734
10343927_LMAN8_CML328_TTGGTA,LMAN8,LMAN,CML328,CML328,282set_CML328,CML328,CML328,Ames27098,0,33.32193,0,40.59217
KAKRNA3_GShoot_CML328_CTCTCG,GShoot,GShoot,CML328,CML328,282set_CML328,CML328,CML328,Ames27098,16.13314,6.45325,2.68886,1.61331
KAKRNA4_10346258_GRoot_CML328_CTCTCG,GRoot,GRoot,CML328,CML328,282set_CML328,CML328,CML328,Ames27098,137.84298,0,0.58907,0.58907
KAKRNA20_10346930_L3Base_CML328_ACATTA,L3Base,L3Base,CML328,CML328,282set_CML328,CML328,CML328,Ames27098,0,20.72512,0,3.31602
KAKRNA21_10346931_L3Tip_CML328_ACATTA,L3Tip,L3Tip,CML328,CML328,282set_CML328,CML328,CML328,Ames27098,0,101.17433,0,0.95447
10343264_LMAD26_CML331_TGCACG,LMAD26,LMAD,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,0,58.3875,0,22.95233
KAKRNA14_LMAN26_CML331_ACAACG,LMAN26,LMAN,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,0,26.67294,0,22.37085
KAKRNA3_GShoot_CML331_CGTCGC,GShoot,GShoot,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,2.53989,0.95246,4.12732,6.98469
KAKRNA4_10346258_GRoot_CML331_CGTCGC,GRoot,GRoot,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,0,0,1.80362,1.80362
KAKRNA27_10346929_L3Tip_CML331_TAGGCT,L3Tip,L3Tip,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,0,71.64463,0,2.12806
KAKRNA26_L3Base_CML331_TAGGCT,L3Base,L3Base,CML331,CML331,282set_CML331,CML331,CML331,Ames27099,0.53796,0.53796,2.15185,2.95879
KAKRNA5_GShoot_CML332_CGCCTG,GShoot,GShoot,CML332,CML332,282set_CML332,CML332,CML332:8042MABXX:2:D10,Ames27100,3.63694,1.39882,8.39294,9.512
KAKRNA6_10346261_GRoot_CML332_CGCCTG,GRoot,GRoot,CML332,CML332,282set_CML332,CML332,CML332:8042MABXX:2:D10,Ames27100,2.44422,0,0,2.44422
KAKRNA28_L3Base_CML332_TGCTAT,L3Base,L3Base,CML332,CML332,282set_CML332,CML332,CML332:8042MABXX:2:D10,Ames27100,0,5.92906,1.48226,2.47044
KAKRNA28_L3Mid_CML332_GACGAT,L3Mid,L3Mid,CML332,CML332,282set_CML332,CML332,CML332:8042MABXX:2:D10,Ames27100,0,67.90269,0,2.79052
KAKRNA28_L3Tip_CML332_CTCCAT,L3Tip,L3Tip,CML332,CML332,282set_CML332,CML332,CML332:8042MABXX:2:D10,Ames27100,0,62.05996,1.42667,3.56666
10343264_LMAD26_CML333_TGGATT,LMAD26,LMAD,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,0,38.45919,0,22.62306
10344827_LMAN26_CML333_ACCAGT,LMAN26,LMAN,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,0.4235,23.71587,0,32.18582
KAKRNA3_GShoot_CML333_CAACAG,GShoot,GShoot,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,42.73908,1.59772,5.1926,4.79317
KAKRNA4_10346258_GRoot_CML333_CAACAG,GRoot,GRoot,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,34.55604,0,4.41141,2.2057
KAKRNA23_10346932_L3Base_CML333_TGGATT,L3Base,L3Base,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,11.44733,23.31863,1.6959,3.3918
KAKRNA24_L3Tip_CML333_TGGATT,L3Tip,L3Tip,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,0,40.22316,0,0.87442
KAKRNA16_Kern_CML333_TCGTTC,Kern,Kern,CML333,CML333,282set_CML333,CML333,CML333:8042MABXX:2:D9,Ames27101,0,0,0.49981,26.98969
10343264_LMAD26_CML341_CTAGTC,LMAD26,LMAD,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,0,73.164,0,16.50082
KAKRNA14_GShoot_CML341_GCCACA,GShoot,GShoot,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,44.23644,2.71627,1.55216,4.65647
KAKRNA14_LMAN26_CML341_AGTTGA,LMAN26,LMAN,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,0,8.78911,1.95314,26.36734
KAKRNA2_10346259_GRoot_CML341_AGACCA,GRoot,GRoot,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,1.8976,0,5.6928,0.75904
KAKRNA27_10346929_L3Tip_CML341_GCGAAT,L3Tip,L3Tip,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,0.84274,85.95989,0,1.68549
KAKRNA26_L3Base_CML341_GCGAAT,L3Base,L3Base,CML341,CML341,282set_CML341,CML341,CML341,Ames27102,0.44232,6.6348,1.32696,1.76928
10343264_LMAD26_CML38_CAGGAC,LMAD26,LMAD,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,0,71.23592,0,40.79322
10344827_LMAN26_CML38_GCTCGA,LMAN26,LMAN,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,0,54.25612,0,37.56193
KAKRNA5_GShoot_CML38_GCGCTG,GShoot,GShoot,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,81.63164,10.3809,1.88744,4.24673
KAKRNA6_10346261_GRoot_CML38_GCGCTG,GRoot,GRoot,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,6.04219,0,2.01406,4.02813
KAKRNA27_10346929_L3Tip_CML38_TCAGGA,L3Tip,L3Tip,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,0,165.42684,0,3.61589
KAKRNA26_L3Base_CML38_TCAGGA,L3Base,L3Base,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,0,6.64568,2.52077,6.64568
KAKRNA17_Kern_CML38_GCATGG,Kern,Kern,CML38,CML38,282set_CML38,CML38,CML38:8042MABXX:4:C7,PI595534,0,0.1892,0.3784,29.70432
KAKRNA3_GShoot_CML45_TGTGCA,GShoot,GShoot,CML45,CML45,282set_CML45,CML45,CML45,Ames27076,22.36716,5.09632,7.64447,2.54816
KAKRNA4_10346258_GRoot_CML45_TGTGCA,GRoot,GRoot,CML45,CML45,282set_CML45,CML45,CML45,Ames27076,70.34514,0.34824,3.48243,5.22365
KAKRNA28_L3Base_CML45_CCGACC,L3Base,L3Base,CML45,CML45,282set_CML45,CML45,CML45,Ames27076,11.39417,15.19223,1.72639,5.52445
KAKRNA28_L3Mid_CML45_TGGATT,L3Mid,L3Mid,CML45,CML45,282set_CML45,CML45,CML45,Ames27076,0,58.19942,0.81971,9.83652
KAKRNA28_L3Tip_CML45_ACAGAT,L3Tip,L3Tip,CML45,CML45,282set_CML45,CML45,CML45,Ames27076,2.4537,58.8888,0.49074,8.83332
10344823_GShoot_CML5_AGAATC,GShoot,GShoot,CML5,CML5,282set_CML5,CML5,CML5,Ames27071,13.54021,11.6059,6.96354,3.48177
KAKRNA27_10346929_L3Tip_CML5_AGATAG,L3Tip,L3Tip,CML5,CML5,282set_CML5,CML5,CML5,Ames27071,12.00825,79.25443,0,3.60247
KAKRNA26_L3Base_CML5_AGATAG,L3Base,L3Base,CML5,CML5,282set_CML5,CML5,CML5,Ames27071,0.91792,14.45718,2.29479,1.60635
10344823_GShoot_CML52_CAACAG,GShoot,GShoot,CML52,CML52,282set_CML52,CML52,CML52:8042MABXX:2:C9,PI595561,13.561,6.7805,4.0683,4.52033
10344823_GShoot_CML61_GAACCT,GShoot,GShoot,CML61,CML61,282set_CML61,CML61,CML61,Ames27078,34.775,12.81184,3.66053,7.32105
KAKRNA27_10346929_L3Tip_CML61_CTCCAT,L3Tip,L3Tip,CML61,CML61,282set_CML61,CML61,CML61,Ames27078,0,164.20281,0,3.26772
KAKRNA26_L3Base_CML61_CTCCAT,L3Base,L3Base,CML61,CML61,282set_CML61,CML61,CML61,Ames27078,3.34705,25.93965,1.95245,6.13626
10343264_LMAD26_CML69_GACGAT,LMAD26,LMAD,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,0,163.92543,0,30.73602
10344823_GShoot_CML69_GCGAAT,GShoot,GShoot,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,22.00466,12.52573,3.0468,4.73947
10344825_GRoot_CML69_GCGAAT,GRoot,GRoot,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,3.68442,0,2.21065,1.47377
10344827_LMAN26_CML69_TTAACT,LMAN26,LMAN,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,0,75.27042,0,27.56382
KAKRNA28_L3Base_CML69_GCAGCC,L3Base,L3Base,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,0.41786,10.86424,1.67142,2.50713
KAKRNA28_L3Mid_CML69_AGGCAT,L3Mid,L3Mid,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,1.46249,156.48674,0,1.46249
KAKRNA28_L3Tip_CML69_TATGTC,L3Tip,L3Tip,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,0,154.63367,0,0.97869
KAKRNA17_Kern_CML69_ACAACG,Kern,Kern,CML69,CML69,282set_CML69,CML69,CML69,Ames28184,0,0,0.93239,17.71538
10343264_LMAN26_CML77_GCATGG,LMAN26,LMAN,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,0,36.08633,0.32806,22.96403
10343927_LMAD26_CML77_AATAGC,LMAD26,LMAD,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,0,41.07049,0,34.66989
KAKRNA5_GShoot_CML77_GATTGT,GShoot,GShoot,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,23.76754,8.60159,2.94265,4.75351
KAKRNA6_10346261_GRoot_CML77_GATTGT,GRoot,GRoot,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,14.67102,0,0.863,1.726
KAKRNA27_10346929_L3Tip_CML77_TTCGAG,L3Tip,L3Tip,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,0,117.85033,0,2.08585
KAKRNA26_L3Base_CML77_TTCGAG,L3Base,L3Base,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,4.29628,28.16452,1.90946,6.68311
KAKRNA17_Kern_CML77_ACTCTT,Kern,Kern,CML77,CML77,282set_CML77,CML77,CML77:8042MABXX:3:D11,Ames28185,0.35952,0,0,38.46866
10343264_LMAD26_CML91_AACGCC,LMAD26,LMAD,CML91,CML91,282set_CML91,CML91,CML91:8042MABXX:2:E12,Ames27079,0,66.77725,0,20.72397
10344827_LMAN26_CML91_AATCCG,LMAN26,LMAN,CML91,CML91,282set_CML91,CML91,CML91:8042MABXX:2:E12,Ames27079,0.69011,37.26577,0,27.60427
KAKRNA3_GShoot_CML91_TGCTAT,GShoot,GShoot,CML91,CML91,282set_CML91,CML91,CML91:8042MABXX:2:E12,Ames27079,48.99135,13.65333,4.81882,9.63764
KAKRNA4_10346258_GRoot_CML91_TGCTAT,GRoot,GRoot,CML91,CML91,282set_CML91,CML91,CML91:8042MABXX:2:E12,Ames27079,27.02078,0,2.01219,3.73692
