OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA4_10346258_GRoot_A214N_ATATCC,GRoot,GRoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,21.63176,0,1.24799,4.57595
KAKRNA27_10346929_L3Tip_A214N_CGGTTA,L3Tip,L3Tip,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,159.91271,0,11.48544
KAKRNA26_L3Base_A214N_CGGTTA,L3Base,L3Base,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.6842,16.42074,3.42099,11.63136
10343262_LMAN8_A239_CAAGCA,LMAN8,LMAN,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,38.53329,0,30.27616
KAKRNA3_GShoot_A239_AGGCAT,GShoot,GShoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,91.94418,4.83917,0.6049,12.09792
KAKRNA4_10346258_GRoot_A239_AGGCAT,GRoot,GRoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,37.29416,0,3.43499,6.86998
KAKRNA23_10346932_L3Base_A239_GCATGG,L3Base,L3Base,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,6.48434,4.32289,1.62108,11.34759
KAKRNA24_L3Tip_A239_ATGGCG,L3Tip,L3Tip,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,4.55385,42.80617,0,5.46462
KAKRNA18_Kern_A239_CTCATA,Kern,Kern,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,0,0,13.82563
10343927_LMAD26_A441-5_CTAGTC,LMAD26,LMAD,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,48.36309,0,20.08298
10344827_LMAN26_A441-5_AGTTGA,LMAN26,LMAN,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0,48.30551,0,33.16497
KAKRNA5_GShoot_A441-5_TCGTTC,GShoot,GShoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,100.67512,5.55101,12.61593,7.06492
KAKRNA6_10346261_GRoot_A441-5_TCGTTC,GRoot,GRoot,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,2.9939,0,1.49695,2.9939
KAKRNA28_L3Base_A441-5_TAATCG,L3Base,L3Base,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,14.41682,14.41682,2.4028,4.32504
KAKRNA28_L3Mid_A441-5_GGTGAG,L3Mid,L3Mid,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,6.74705,98.20712,0.74967,4.49804
KAKRNA28_L3Tip_A441-5_TTAACT,L3Tip,L3Tip,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.81417,84.67377,0,4.88503
KAKRNA17_Kern_A441-5_CGCCTG,Kern,Kern,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,0.9756,0,2.43901,7.31704
10344823_LMAD8_A554_CCTGCT,LMAD8,LMAD,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,0,110.63866,0.4708,23.06934
10344826_LMAN8_A554_GTGTAG,LMAN8,LMAN,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,0,35.06199,0,24.15381
KAKRNA5_GShoot_A554_ACCAGT,GShoot,GShoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,55.24758,6.37472,3.03558,8.19607
KAKRNA6_10346261_GRoot_A554_ACCAGT,GRoot,GRoot,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,52.386,0,0.97011,6.79078
KAKRNA20_10346930_L3Base_A554_CTCTCG,L3Base,L3Base,A554,A554,282set_A554,A554,A554:8042MABXX:2:C6,PI587138,8.77953,25.30569,1.03289,10.8453
10344823_LMAD8_A556_TCGTTC,LMAD8,LMAD,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,83.96508,0,34.41192
10344826_LMAN8_A556_ACAGAT,LMAN8,LMAN,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,39.49356,0,33.35012
KAKRNA14_GShoot_A556_CGCCTG,GShoot,GShoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,11.31999,0,2.05818,10.2909
KAKRNA2_10346259_GRoot_A556_AGATAG,GRoot,GRoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,11.57611,0,2.75622,7.16616
KAKRNA23_10346932_L3Base_A556_ACAGAT,L3Base,L3Base,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,3.64934,19.70642,0.72987,8.02854
KAKRNA24_L3Tip_A556_ACAGAT,L3Tip,L3Tip,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,1.12842,55.29242,0.56421,5.64208
KAKRNA16_Kern_A556_ATATCC,Kern,Kern,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0.28664,0.57329,0.57329,10.31917
10343264_LMAD26_A6_AAGTGG,LMAD26,LMAD,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,104.86214,0,31.39585
10344827_LMAN26_A6_ATGAAC,LMAN26,LMAN,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,53.17868,0,30.01173
KAKRNA3_GShoot_A6_GGAGGT,GShoot,GShoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,66.7261,9.39804,4.38575,7.20517
KAKRNA4_10346258_GRoot_A6_GGAGGT,GRoot,GRoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,31.83865,0,0.99496,2.48739
KAKRNA20_10346930_L3Base_A6_ATGGCG,L3Base,L3Base,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0.77449,49.56765,0,1.54899
KAKRNA21_10346931_L3Tip_A6_ATGGCG,L3Tip,L3Tip,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,202.83818,0,2.07684
KAKRNA16_Kern_A6_ACAGAT,Kern,Kern,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,0.43073,0,25.84352
10344823_LMAD8_A619_AGACCA,LMAD8,LMAD,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,97.9521,0,25.2928
10344826_LMAN8_A619_GAGTCC,LMAN8,LMAN,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0,69.66392,1.26662,20.26587
