RawPhenotypeNames,TissueWODate,AC148152.3_FG001,AC148152.3_FG005,AC148152.3_FG008
B109,LMAN,0,0,65.66333
B109,GShoot,0,48.79171,6.59347
B109,GRoot,0,34.69182,0
B109,L3Base,0,0,22.89148
B109,L3Tip,0,0,122.73552
B14A,LMAN,0,0,88.58704
B14A,GShoot,0,24.50881,5.78038
B14A,GRoot,0,73.39437,0.18257
B14A,L3Tip,0,0,148.35817
B14A,Kern,0,1.10464,0
B164,LMAN,0,0,68.18447
B164,GShoot,0,6.96932,5.73944
B164,GRoot,0,26.08886,0.40137
B164,L3Base,0,0.33377,15.68699
B164,L3Tip,0,0,190.3194
B164,Kern,0,0,0
B2,LMAN,1.80862,0,23.81345
B2,GShoot,0.39778,272.68132,1.98892
B2,L3Base,1.95486,1.95486,6.84199
B2,L3Tip,6.16189,0,126.31874
B2,Kern,1.11663,0.74442,0
B37,LMAN,0.3603,0,17.29432
B37,GShoot,0.30116,16.26269,1.50581
B37,GRoot,6.56702,8.53713,0.32835
B37,L3Tip,0,0,108.69249
B37,L3Base,1.47627,0,2.95253
B37,Kern,0,0,0.34182
B46,LMAN,0,0,47.39773
B46,LMAD,0,0.47685,79.63426
B46,GShoot,0.56595,14.14874,1.1319
B46,L3Base,0,7.17852,17.43355
B46,L3Mid,0,3.22559,130.09874
B46,L3Tip,0,0.74926,130.37178
B52,LMAN,0,3.4282,51.80391
B52,LMAD,0,0.37825,47.28165
B52,GShoot,0,132.65458,5.51196
B52,GRoot,0.43534,81.40785,0
B52,L3Tip,0,3.41354,114.35374
B52,L3Base,0,0,6.22579
B57,LMAN,0,0,22.0099
B57,GShoot,1.02618,13.68244,1.02618
B57,GRoot,0,15.53995,0
B57,L3Base,0,11.63154,4.92104
B57,L3Tip,0,0,67.59352
B57,Kern,0,0,0
B64,LMAN,0,1.48359,52.42014
B64,LMAD,0,13.98214,169.11725
B64,GShoot,0,6.58068,5.75809
B64,GRoot,0,4.10892,0
B64,L3Base,0,0,9.65802
B64,L3Tip,0,1.18866,155.71415
B64,Kern,0,8.74652,0
B64,Kern,0,9.48353,0
B68,LMAN,0,0,69.66951
B68,GShoot,0,4.47473,4.71024
B68,GRoot,0,11.36143,0
B68,L3Base,0,0.39466,7.1038
B68,L3Tip,0,0,196.19449
B68,Kern,0,3.73711,0
B73,LMAN,0,0,67.5348
B73,LMAN,0,0,55.16885
B73,LMAN,0,0,74.53313
B73,LMAN,0,0,70.625
B73,LMAD,0,0,64.99661
B73,LMAN,0,0,37.60756
B73,LMAN,0,0,30.59185
B73,LMAN,0,0,42.60765
B73,LMAN,0,0,39.1147
B73,LMAD,0,0,99.98852
B73,LMAD,0,0,57.27379
B73,LMAD,0,0,57.77622
B73,LMAD,0,0,44.3736
B73,LMAD,0,0,77.77421
B73,LMAN,0,0,79.03925
B73,LMAN,0,0,113.84749
B73,LMAN,0,0,67.20519
B73,L3Mid,0,5.22336,101.85548
B73,L3Mid,0,9.16859,92.29718
B73,L3Base,0,0,9.31358
B73,L3Base,0,0,7.1483
B73,LMAN,0,0,39.06255
B73,LMAN,0,0,43.38982
B73,LMAN,0,0,35.50803
B73,GShoot,0,5.93539,5.19346
B73,GShoot,0,6.46698,5.44588
B73,GShoot,0,6.58511,5.95796
B73,GShoot,0,8.10152,3.64568
B73,GShoot,0,10.07534,5.75734
B73,GShoot,0.434,9.98204,7.37803
B73,GShoot,0,4.52264,1.04369
B73,GShoot,0,24.78751,5.65329
B73,GRoot,0,25.51405,0
B73,GRoot,0.26541,18.04773,0
B73,GRoot,0,108.77952,0
B73,GRoot,0.47431,29.64444,0.23716
B73,GRoot,0,46.67816,0
B73,GRoot,0.29244,16.66889,0
B73,GRoot,0,109.39244,0
B73,GRoot,0.26111,17.2332,0
B73,GRoot,0.32938,11.8578,0
B73,GRoot,0,29.65248,0
B73,GRoot,0,15.58631,0
B73,GRoot,0,12.03524,0
B73,GRoot,0,32.23581,0
B73,GRoot,0,60.00409,0
B73,GRoot,0,32.79506,0
B73,GRoot,0,138.72492,0
B73,GRoot,0,53.90145,0
B73,Kern,0,0,1.47341
B73,L3Tip,0,0,195.96601
B73,L3Tip,0,1.63423,149.53174
B73,L3Tip,0,1.21751,120.53353
B73,L3Tip,0,0,114.92674
B73,L3Tip,0,1.88424,152.62366
B73,L3Tip,0,0,139.20403
B73,L3Base,0,0,3.89625
B73,L3Base,0,0.80989,12.95825
B73,L3Base,0,0.47662,6.196
B73,L3Base,0,0.97676,13.349
B73,L3Base,0,1.04891,9.96462
B73,L3Base,0,0,15.31639
B73,L3Base,0,0.604,19.3281
B73,L3Base,0,0.80149,22.04093
B73,L3Base,0,1.07793,8.62343
B73,L3Base,0,0,3.24009
B73,L3Base,0,0.94201,9.73415
B73,L3Tip,0,0,107.14693
B73,L3Tip,0,0.98821,163.54922
B73,L3Tip,0,0,132.51454
B73,L3Tip,0,0,131.61084
B73,L3Tip,0,0,165.95232
B73,L3Tip,0,0,123.05652
B73,L3Tip,0,0,137.21336
B73,L3Tip,0,0,167.39269
B73,L3Tip,0,0,119.44793
B73,L3Tip,0,0.67924,135.84888
B73,L3Tip,0,0,141.99675
B73,L3Base,0,0.7587,7.58695
B73,L3Base,0,0.37189,10.41292
B73,L3Base,0,1.62496,13.54135
B73,L3Base,0,0.88992,19.57831
B73,L3Base,0,0.81757,10.62839
B73,L3Base,0,3.36484,22.88088
B73,L3Base,0,0.35057,9.46532
B73,L3Base,0,3.37549,11.47668
B73,L3Tip,0.72922,0,166.26314
B73,L3Tip,0,3.95662,155.89102
B73,L3Tip,0,0,141.99433
B73,L3Tip,0,0.79307,175.26782
B73,L3Tip,0,0,174.84947
B73,L3Tip,0,0,142.21508
B73,L3Tip,0,0,135.81394
B73,L3Tip,0,0.71124,178.52096
B73,L3Tip,0,0,144.91897
B73,L3Base,0,1.68232,8.13121
B73,L3Base,0,6.66461,25.32551
B73,L3Base,0,0,4.84273
B73,L3Base,0,3.63497,10.57446
B73,L3Base,0,0,10.00743
B73,L3Base,0,1.73053,11.86647
B73,Kern,0,0.40323,0
B73,Kern,0,0,0
B73,Kern,0,0,0
B73,Kern,0,0.28551,0
B73,Kern,0,0,0
B73,Kern,0,0,0.79898
B73,Kern,0,0,0
B73,Kern,0,0.48163,0
B73,Kern,0,0.30053,0
B73,Kern,0,0.27119,0
B73Htrhm,LMAN,0,0,68.86261
B73Htrhm,GShoot,0,14.25597,6.41519
B73Htrhm,GRoot,0.5815,40.70533,0
B73Htrhm,L3Base,0,0,20.08042
B73Htrhm,L3Tip,0,0,136.6004
B73Htrhm,Kern,0,0,0
B73,GShoot,0,10.95083,4.81837
B73,GShoot,0,1.96026,3.13642
B73,GShoot,0,0.8672,2.168
