OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC192244.3_FG007,GRMZM2G000231,GRMZM2G003124,GRMZM2G020148,GRMZM2G037048,GRMZM2G054225,GRMZM2G055802,GRMZM2G056697,GRMZM2G104316,GRMZM2G106950,GRMZM2G140559,GRMZM2G353905,GRMZM2G398500,GRMZM2G402493,GRMZM2G468111,GRMZM2G472671
10343262_LMAN8_4722_GACATC,LMAN8,LMAN,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,3.62832,1.61259,8.06293,0.40315,7.05507,26.80926,26.80926,0.80629,17.13374,30.63915,35.07377,2.01573,9.0708,26.40611,2.01573,2.01573
KAKRNA27_10346929_L3Tip_4722_ACACGC,L3Tip,L3Tip,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,1.7703,1.7703,15.93267,100.90688,4.42574,8.85148,19.47326,0.88515,17.70296,21.24355,20.35841,1.7703,10.62178,10.62178,0.88515,52.22374
KAKRNA26_L3Base_4722_ACACGC,L3Base,L3Base,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0.32379,0.64758,16.51341,21.04651,7.77102,22.34168,8.09481,1.94275,8.74239,70.91054,19.75134,2.26655,3.56172,73.82467,4.2093,11.00894
KAKRNA17_Kern_4722_ACCTAC,Kern,Kern,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0.64624,0.64624,7.75487,31.0195,5.81616,29.72702,7.75487,0,27.7883,0,9.04735,9.04735,1.29248,63.97772,18.74095,0
10344823_GShoot_A188_AACGCC,GShoot,GShoot,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.78724,13.77669,3.9362,19.68098,14.95754,24.79803,18.50012,7.47877,2.36172,174.37348,25.19165,1.9681,13.77669,65.73447,0,6.69153
10344823_LMAD8_A188_TTAACT,LMAD8,LMAD,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,4.23369,5.44332,4.83851,3.62888,7.25776,9.0722,2.41925,25.40216,6.04813,1.20963,36.28879,0,37.49842,20.56365,10.88664,0.60481
10344826_LMAN8_A188_CCTGCT,LMAN8,LMAN,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,2.79382,5.58764,3.72509,0.93127,6.51891,15.83164,13.03782,17.69419,10.244,7.45019,37.25093,0,32.59456,26.07565,0.93127,8.38146
KAKRNA23_10346932_L3Base_A188_ACTCTT,L3Base,L3Base,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0,3.61155,10.83464,12.03849,15.95099,13.24233,1.50481,7.22309,5.71828,111.95792,20.76639,0.90289,8.12598,107.74445,0.90289,8.12598
KAKRNA24_L3Tip_A188_ACTCTT,L3Tip,L3Tip,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,3.41437,0.97553,12.68194,54.62988,3.41437,5.8532,1.95107,23.41281,30.24154,38.53358,30.24154,0,69.75065,9.75534,2.43883,144.37897
KAKRNA17_Kern_A188_TGGATT,Kern,Kern,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,1.62678,6.91382,5.69373,5.28704,29.28205,34.56909,2.44017,7.72721,20.33476,10.57407,6.10043,4.88034,6.50712,28.87536,6.10043,0
10343264_LMAD26_A214N_CGAAGG,LMAD26,LMAD,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,1.83569,0.73428,9.17847,4.7728,8.44419,8.44419,8.81133,0.36714,14.31841,2.93711,23.49688,0,12.48272,36.71387,41.85381,1.10142
10344827_LMAN26_A214N_TCGTTC,LMAN26,LMAN,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.68848,9.63874,11.0157,5.16361,12.39267,22.71989,6.54057,0,9.63874,0.68848,16.52356,1.03272,20.3102,14.11387,0.68848,3.09817
KAKRNA3_GShoot_A214N_ATATCC,GShoot,GShoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.24484,15.42485,5.87613,35.25681,16.89389,33.78777,5.87613,0,11.50743,94.9975,14.93517,0,7.10033,23.99422,1.22419,11.26259
KAKRNA4_10346258_GRoot_A214N_ATATCC,GRoot,GRoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,2.07998,13.72785,9.1519,14.14384,20.79977,23.29574,1.24799,0,18.71979,1.66398,11.64787,0.83199,3.32796,32.86363,178.462,0.83199
KAKRNA27_10346929_L3Tip_A214N_CGGTTA,L3Tip,L3Tip,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,0,6.18447,70.67965,11.48544,6.18447,0,0,22.97089,26.50487,24.73788,0,6.18447,58.31071,7.06797,98.95151
KAKRNA26_L3Base_A214N_CGGTTA,L3Base,L3Base,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.3421,3.42099,21.55222,130.33962,16.76284,15.39444,0,0,22.92062,87.23518,22.92062,0.3421,3.42099,59.52518,2.73679,18.81543
10343262_LMAN8_A239_CAAGCA,LMAN8,LMAN,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,4.81666,6.19285,8.94523,2.75238,11.00951,15.82617,4.81666,2.75238,11.00951,1.37619,18.57855,0.68809,14.44998,13.76189,10.32142,4.81666
KAKRNA3_GShoot_A239_AGGCAT,GShoot,GShoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,9.67833,3.02448,31.45459,16.33219,35.68886,6.04896,2.41958,8.46854,64.72386,20.56646,2.41958,8.46854,34.47907,1.20979,1.81469
KAKRNA4_10346258_GRoot_A239_AGGCAT,GRoot,GRoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,4.90713,6.86998,9.32354,7.36069,12.75853,14.72138,9.32354,0,10.30496,1.96285,13.24924,2.94428,2.94428,30.42418,153.59304,1.96285
KAKRNA23_10346932_L3Base_A239_GCATGG,L3Base,L3Base,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,1.08072,8.64578,37.8253,12.42831,15.13012,4.32289,0.54036,8.10542,19.45301,23.23554,2.70181,4.32289,66.46445,0,9.18614
KAKRNA24_L3Tip_A239_ATGGCG,L3Tip,L3Tip,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,5.46462,0.91077,8.19693,142.08007,8.19693,8.19693,0,2.73231,27.32309,29.14463,36.43079,0,11.84001,14.57231,0,97.45235
KAKRNA18_Kern_A239_CTCATA,Kern,Kern,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,1.88531,5.65594,7.85547,13.82563,42.10532,32.99297,2.19953,0.62844,19.48156,0,5.65594,10.055,4.39906,25.45172,66.9286,0
10343927_LMAD26_A441-5_CTAGTC,LMAD26,LMAD,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,4.09857,0,8.19713,1.63943,15.57456,13.93513,13.52527,2.869,8.19713,0,25.82097,1.22957,10.24642,44.67438,0,0
10344827_LMAN26_A441-5_AGTTGA,LMAN26,LMAN,A441-5,A441-5,282set_A441-5,A441-5,A4415:8042MABXX:3:C4,Ames27064,5.76782,1.44196,5.76782,0.72098,25.23422,23.79226,149.24239,0.72098,12.9776,1.44196,10.09369,3.60489,21.62933,54.79431,0,2.16293
